method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-2.6135999999998827E-4,0.019317420000000002,false,-2.6135999999998827E-4,2.0063999999999998E-4,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,1.0,,,,
exact_data_based,5.863615958995316E-5,0.026543944763340006,false,5.863615958995316E-5,9.654138753000003E-5,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,1.0,,,,
EMCC,5.871334443441345E-5,0.013961755820788761,false,5.8713344434635495E-5,0.0038315416862311387,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,1.0,83.0,33.0,22098.0,7
EMCC,-0.15996102608450613,0.13255665128037697,true,0.016230780736169986,2.0147558029200003E-4,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.0,17.0,2.0,86.0,6
EMCC,-0.03168376879350429,0.2342893634501939,true,0.15321322351774203,8.099877092872751E-5,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.023,28.0,12.0,20104.0,6
EMCC,9.799499538527545E-4,0.029421837143320227,true,0.011034398597680739,0.0015965067008876794,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.267,24.0,4.0,51065.0,10
EMCC,-8.99431891534519E-4,0.020392947018068396,true,0.0028923553436679406,0.001993600567702263,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.317,13.0,1.0,54434.0,6
EMCC,-0.0015472369593259039,0.016723533327966902,true,1.096328738459107E-6,1.1348534172189548E-4,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.346,7.0,2.0,102049.0,10
EMCC,-9.520394177963132E-4,0.015886386272448545,true,-9.519641870784357E-4,0.001986732606446406,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.421,11.0,3.0,134317.0,10
EMCC,-7.408068332352968E-4,0.02014906058206815,true,-7.40806818787132E-4,0.002479230252037292,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.603,6.0,2.0,133252.0,10
EMCC,-7.629665943648667E-4,0.01929580852441038,true,-7.629665576978639E-4,0.0024913519380132605,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,0.615,4.0,1.0,143510.0,10
EMCC,5.871334443446896E-5,0.022764148109431198,true,5.8713344435579184E-5,5.919201470915763E-4,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k10_1.uai,1.0,6.0,1.0,73594.0,10
