,treewidth,variable,value,n
0,2.0,error_r_10,0.43269409119235724,10
1,2.0,error_r_10,0.6218803719962306,10
2,3.0,error_r_10,0.1492802519873245,10
3,3.0,error_r_10,0.0008801391432896557,10
4,2.0,error_r_10,0.5240436350479366,10
5,3.0,error_r_10,0.35435996763168753,10
6,2.0,error_r_10,0.4591453185674631,10
7,,error_r_10,0.5140196575494265,10
8,3.0,error_r_10,0.3943037849253574,10
9,3.0,error_r_10,0.07832802032827309,10
10,3.0,error_r_10,0.10341546008983894,10
11,3.0,error_r_10,0.11307807620736292,10
12,2.0,error_r_10,0.3589519834222732,10
13,3.0,error_r_10,0.027169831173791126,10
14,2.0,error_r_10,0.3030152842510133,10
15,3.0,error_r_10,0.1426875827094964,10
16,3.0,error_r_10,0.00019729014379613958,10
17,3.0,error_r_10,0.2557054006627526,10
18,3.0,error_r_10,0.43270665376057327,10
19,3.0,error_r_10,0.20542061605800502,10
20,3.0,error_r_10,0.25645062816103514,10
21,3.0,error_r_10,0.43832056557915233,10
22,2.0,error_r_10,0.5473551125079039,10
23,2.0,error_r_10,0.5883118581638427,10
24,3.0,error_r_10,0.40929083373544783,10
25,3.0,error_r_10,0.08894327652205887,10
26,2.0,error_r_10,0.5240436350479366,10
27,2.0,error_r_10,0.4591453185674631,10
28,3.0,error_r_10,0.41486349424626906,10
29,3.0,error_r_10,0.3429137736402536,10
30,2.0,error_r_10,0.5883118581638427,10
31,3.0,error_r_10,0.0045763384152420145,10
32,3.0,error_r_10,0.0033377980800763244,10
33,3.0,error_r_10,0.0038838957419488197,10
34,3.0,error_r_10,0.32812792174107763,10
35,3.0,error_r_10,0.5826368804607323,10
36,3.0,error_r_10,0.19930623096757158,10
37,3.0,error_r_10,0.49197810580667073,10
38,3.0,error_r_10,0.5146262174202691,10
39,3.0,error_r_10,0.13765173041465822,10
40,3.0,error_r_10,0.12033988112567512,10
41,3.0,error_r_10,0.3905488878846223,10
42,2.0,error_r_10,0.5374512589401419,10
43,3.0,error_r_10,0.44257814326292155,10
44,2.0,error_r_10,0.1405412468345667,10
45,2.0,error_r_10,0.3078936798217962,10
46,2.0,error_r_10,0.42212719991393177,10
47,2.0,error_r_10,0.3927244862898131,10
48,2.0,error_r_10,0.03448875458587489,10
49,2.0,error_r_10,0.0431898091656737,10
50,2.0,error_r_10,0.008832671390734416,10
51,2.0,error_r_10,0.0027540782970752013,10
52,2.0,error_r_10,0.0027540782970752013,10
53,3.0,error_r_10,0.3083370009532379,10
54,3.0,error_r_10,0.42225780859939865,10
55,3.0,error_r_10,0.3582948048196365,10
56,3.0,error_r_10,0.1833626823461411,10
57,3.0,error_r_10,0.2807642213183996,10
