,n,range,value
0,10,"(0.333, 0.665]",0.43269409119235724
1,10,"(-0.000964, 0.333]",0.6218803719962306
2,10,"(0.665, 0.998]",0.1492802519873245
3,10,"(0.665, 0.998]",0.0008801391432896557
4,10,"(0.665, 0.998]",0.5240436350479366
5,10,"(0.665, 0.998]",0.35435996763168753
6,10,"(0.333, 0.665]",0.4591453185674631
7,10,"(0.333, 0.665]",0.5140196575494265
8,10,"(0.333, 0.665]",0.3943037849253574
9,10,"(0.665, 0.998]",0.07832802032827309
10,10,"(0.665, 0.998]",0.10341546008983894
11,10,"(0.665, 0.998]",0.11307807620736292
12,10,"(0.665, 0.998]",0.3589519834222732
13,10,"(0.665, 0.998]",0.027169831173791126
14,10,"(0.333, 0.665]",0.3030152842510133
15,10,"(0.333, 0.665]",0.1426875827094964
16,10,"(0.665, 0.998]",0.00019729014379613958
17,10,"(0.665, 0.998]",0.2557054006627526
18,10,"(0.333, 0.665]",0.43270665376057327
19,10,"(0.665, 0.998]",0.20542061605800502
20,10,"(0.665, 0.998]",0.25645062816103514
21,10,"(0.665, 0.998]",0.43832056557915233
22,10,"(0.665, 0.998]",0.5473551125079039
23,10,"(0.333, 0.665]",0.5883118581638427
24,10,"(0.333, 0.665]",0.40929083373544783
25,10,"(0.665, 0.998]",0.08894327652205887
26,10,"(0.665, 0.998]",0.5240436350479366
27,10,"(0.333, 0.665]",0.4591453185674631
28,10,"(0.665, 0.998]",0.41486349424626906
29,10,"(0.665, 0.998]",0.3429137736402536
30,10,"(0.333, 0.665]",0.5883118581638427
31,10,"(0.333, 0.665]",0.0045763384152420145
32,10,"(0.333, 0.665]",0.0033377980800763244
33,10,"(0.665, 0.998]",0.0038838957419488197
34,10,"(0.665, 0.998]",0.32812792174107763
35,10,"(0.665, 0.998]",0.5826368804607323
36,10,"(0.333, 0.665]",0.19930623096757158
37,10,"(0.665, 0.998]",0.49197810580667073
38,10,"(0.665, 0.998]",0.5146262174202691
39,10,"(0.333, 0.665]",0.13765173041465822
40,10,"(0.665, 0.998]",0.12033988112567512
41,10,"(0.333, 0.665]",0.3905488878846223
42,10,"(0.665, 0.998]",0.5374512589401419
43,10,"(0.665, 0.998]",0.44257814326292155
44,10,"(0.333, 0.665]",0.1405412468345667
45,10,"(-0.000964, 0.333]",0.3078936798217962
