method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-0.17165103211199995,0.067144211568,false,-0.17165103211199995,0.003441802728000001,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,1.0,,,,
EMCC,-0.22136715212656244,0.06901980838774534,false,-0.2146317862733036,4.3894651296088314E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,1.0,48.0,80.0,83075.0,6
EMCC,-0.8198931095672077,0.08408989373293616,true,0.8321876527017475,1.6101614821157615E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.0,21.0,13.0,565.0,5
EMCC,-0.6563103014863584,0.07317577568613845,true,0.5845815565664403,6.750258128052412E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.341,21.0,10.0,30400.0,2
EMCC,-0.7011998609847655,0.11954984945209671,true,0.5995421534657515,8.718488106383834E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.371,21.0,9.0,46865.0,2
EMCC,-0.6471681670453491,0.10914175623203937,true,0.5706293967999623,6.681782742221763E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.386,30.0,9.0,62788.0,25
EMCC,-0.4581001074913549,0.08660880760212926,true,0.281910525007136,4.937449832050357E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.526,26.0,8.0,87545.0,4
EMCC,-0.22030349515170577,0.06567969921667044,true,-0.21067971231870913,0.0016547205161964382,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.695,25.0,11.0,111954.0,3
EMCC,-0.21620669441053986,0.06607615792400427,true,-0.2064152333468663,0.002417819498674093,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.737,25.0,9.0,128184.0,3
EMCC,-0.23634395819595383,0.06894425542141357,true,-0.22806028245803311,0.0022165094786270284,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,0.766,26.0,8.0,144601.0,6
EMCC,-0.22105027245224984,0.06764919922435483,true,-0.21450482620349387,0.0014103767373667966,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo5_k075_5.uai,1.0,27.0,7.0,164462.0,3
