,10,9,8,7,4,3,2,1,0
0,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,1,0
2,1,0,0,0,0,0,0,1,0
3,1,1,1,1,0,1,0,1,1
4,1,1,1,1,0,0,0,1,0
5,1,1,1,1,1,1,0,1,1
6,1,1,1,1,0,1,0,1,1
7,1,1,1,1,0,0,0,1,0
8,0,0,1,1,0,1,1,0,1
9,1,0,1,0,0,0,0,1,0
10,1,0,1,0,0,0,0,1,0
11,1,0,1,0,0,1,0,1,0
12,1,0,1,0,0,0,0,1,0
13,1,0,0,1,1,0,1,1,1
14,1,0,0,0,0,0,0,1,0
15,1,0,1,1,1,1,0,1,1
16,0,0,0,0,1,0,1,0,0
17,1,0,1,0,0,0,0,1,0
18,1,0,1,0,0,0,0,1,0
19,1,1,1,1,0,0,0,1,0
20,0,0,1,1,0,1,0,0,1
21,1,1,0,1,1,1,0,1,1
22,1,0,0,0,0,1,0,1,1
23,0,0,0,1,0,0,1,0,1
24,1,0,0,0,0,1,0,1,1
25,1,0,0,0,1,1,0,1,1
26,0,1,0,1,0,0,1,0,0
27,1,1,0,1,0,1,0,1,1
28,1,0,1,0,0,1,0,1,1
29,0,0,0,1,0,0,1,0,1
30,1,0,1,0,0,0,0,1,0
31,1,0,1,0,0,0,0,1,0
32,1,0,1,0,0,0,0,1,0
33,1,0,1,0,0,0,0,1,0
34,0,0,0,0,0,1,0,0,1
35,1,1,1,1,1,0,0,1,1
36,0,0,0,1,1,0,0,1,0
37,1,0,0,0,0,0,0,1,0
38,1,1,0,1,0,1,0,1,1
39,1,0,1,0,0,0,0,1,0
40,1,0,0,0,0,0,0,1,0
41,1,1,1,1,1,1,0,1,1
42,1,0,1,0,0,0,0,1,0
43,1,0,0,1,0,0,0,1,0
44,1,0,1,0,1,0,0,1,1
45,0,0,0,1,0,0,1,0,0
46,1,0,0,0,1,1,0,1,1
47,1,0,0,0,0,1,0,1,1
48,1,0,1,0,1,0,0,1,1
49,1,0,1,0,0,0,0,1,0
50,0,0,1,1,0,0,0,0,0
51,1,0,1,0,0,0,0,1,0
52,1,0,1,0,0,1,0,1,1
