,14,13,12,11,9,7,5,4,3,2,1,0
0,1,1,1,1,0,1,1,1,1,1,0,0
1,0,0,1,0,0,0,0,0,0,1,1,1
2,1,0,0,1,0,1,1,1,1,0,0,0
3,0,0,1,1,1,1,0,0,0,0,1,1
4,0,0,0,1,0,0,0,0,1,1,1,0
5,0,0,0,0,0,0,0,0,1,1,1,1
6,1,1,0,1,0,0,0,0,1,1,1,0
7,1,1,0,0,0,1,1,1,1,1,0,1
8,1,0,0,1,0,0,0,0,1,0,1,1
9,1,1,1,0,0,0,0,0,0,1,1,1
10,1,0,1,1,1,1,1,0,0,1,1,1
11,1,0,1,1,0,1,1,1,0,0,0,0
12,1,0,0,1,0,1,1,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,1
14,1,1,1,1,1,1,1,1,1,0,0,1
15,1,0,0,1,0,1,1,1,0,0,0,0
16,1,0,1,1,1,1,1,0,0,0,1,0
17,0,1,1,0,0,0,0,0,0,1,1,1
18,0,0,1,0,0,0,0,0,0,0,1,1
19,1,0,1,1,0,1,1,1,0,0,0,0
20,0,0,0,0,1,1,0,0,1,0,1,1
21,1,0,0,1,0,0,0,0,1,0,1,0
22,0,0,1,1,1,1,0,0,0,1,1,1
23,1,1,0,1,1,1,0,0,0,1,1,1
24,1,0,0,1,0,0,0,0,1,0,1,0
25,0,0,1,0,0,1,1,1,0,0,0,1
26,0,0,0,1,0,1,1,1,0,0,0,0
27,1,0,1,0,1,0,0,1,0,1,0,1
28,0,0,0,1,0,1,1,1,0,0,0,0
29,1,0,1,1,0,1,1,1,0,0,0,0
30,0,0,0,1,0,0,0,0,0,1,1,0
31,0,0,0,0,1,1,1,1,0,1,0,1
32,0,0,1,0,1,0,0,1,0,1,0,1
33,0,0,1,0,1,1,1,1,0,1,0,1
34,0,0,0,0,0,0,0,0,0,1,1,1
35,1,0,0,1,1,1,0,0,0,1,1,1
36,1,0,0,0,0,1,1,1,1,0,0,1
37,0,0,1,1,0,1,1,1,0,0,0,0
38,1,0,0,1,0,0,0,0,1,1,1,0
39,1,1,1,1,1,1,0,0,0,1,1,1
40,1,1,1,0,0,0,0,0,1,1,1,1
41,0,0,0,1,0,0,0,0,0,1,1,0
42,0,1,1,1,1,1,0,0,0,1,1,1
43,1,0,1,1,1,1,0,0,0,0,1,0
44,0,0,0,1,0,0,0,0,0,1,1,0
45,0,0,0,1,1,1,0,0,1,0,1,0
46,0,0,1,0,0,0,0,0,0,1,1,1
47,1,0,0,1,0,1,1,1,0,0,0,0
48,1,0,0,0,1,1,1,1,0,1,0,1
49,0,0,0,1,0,0,0,0,0,1,1,0
50,1,0,0,1,1,1,0,0,0,0,1,1
51,1,0,0,0,0,0,0,0,0,1,1,1
52,1,1,1,1,1,1,1,1,0,0,0,1
