id,markovian,exoTW,nEndo,nExo,exact_eval,avg_llkratio,min_llkratio,max_llkratio
set1_chain_twExo0_nEndo4_0,True,1,4,4,True,0.9989001897586295,0.9989001897586298,0.9989001897586298
set1_chain_twExo0_nEndo4_1,True,1,4,4,True,0.996178560019436,0.9961785600194359,0.9961785600194359
set1_chain_twExo0_nEndo4_10,True,1,4,4,True,0.996757962158725,0.996757962158725,0.996757962158725
set1_chain_twExo0_nEndo4_11,True,1,4,4,True,0.9988563767542817,0.9988563767542818,0.9988563767542818
set1_chain_twExo0_nEndo4_12,True,1,4,4,True,0.9978339502348417,0.9978339502348414,0.9978339502348414
set1_chain_twExo0_nEndo4_13,True,1,4,4,True,0.0,0.0,0.0
set1_chain_twExo0_nEndo4_14,True,1,4,4,True,0.9956669875657631,0.9945898712458855,0.9986806294472343
set1_chain_twExo0_nEndo4_15,True,1,4,4,True,0.0,0.0,0.0
set1_chain_twExo0_nEndo4_16,True,1,4,4,True,0.996918357477121,0.996918357477121,0.996918357477121
set1_chain_twExo0_nEndo4_17,True,1,4,4,True,0.9965533869708489,0.996553386970849,0.996553386970849
set1_chain_twExo0_nEndo4_18,True,1,4,4,True,0.9987733017867166,0.9987733017867166,0.9987733017867166
set1_chain_twExo0_nEndo4_19,True,1,4,4,True,0.953232816751337,0.8176693933913496,0.9930716654554242
set1_chain_twExo0_nEndo4_2,True,1,4,4,True,0.997013370526686,0.997013370526686,0.997013370526686
set1_chain_twExo0_nEndo4_3,True,1,4,4,True,0.9960999145900151,0.996099914590015,0.996099914590015
set1_chain_twExo0_nEndo4_4,True,1,4,4,True,0.9981187268720074,0.9981187268720069,0.9981187268720069
set1_chain_twExo0_nEndo4_5,True,1,4,4,True,0.9946632248870653,0.9945307095644103,0.9946743782386257
set1_chain_twExo0_nEndo4_6,True,1,4,4,True,0.9981608949358843,0.9981608949358842,0.9981608949358842
set1_chain_twExo0_nEndo4_7,True,1,4,4,True,0.9981890533689416,0.9981890533689414,0.9981890533689414
set1_chain_twExo0_nEndo4_8,True,1,4,4,False,0.9717214635232002,0.9042030447553757,0.9984231335829375
set1_chain_twExo0_nEndo4_9,True,1,4,4,True,0.9410472715654177,0.8159879188783957,0.9962723015372491
set1_chain_twExo0_nEndo6_0,True,1,6,6,True,0.9960836633351218,0.9960836633351217,0.9960836633351217
set1_chain_twExo0_nEndo6_1,True,1,6,6,True,0.9973150736604796,0.9973097006863638,0.9973153564485909
set1_chain_twExo0_nEndo6_10,True,1,6,6,True,0.9919697941326451,0.9919296742052177,0.9919965407509298
set1_chain_twExo0_nEndo6_11,True,1,6,6,True,0.9974680942777837,0.9974680942777834,0.9974680942777834
set1_chain_twExo0_nEndo6_12,True,1,6,6,True,0.9972921687945678,0.9972921687945678,0.9972921687945678
set1_chain_twExo0_nEndo6_13,True,1,6,6,True,0.9942002837796154,0.9797346591452138,0.9965156252001202
set1_chain_twExo0_nEndo6_14,True,1,6,6,True,0.9971807070413629,0.9971807070413633,0.9971807070413633
set1_chain_twExo0_nEndo6_15,True,1,6,6,True,0.9979050484256293,0.9979050484256295,0.9979050484256295
set1_chain_twExo0_nEndo6_16,True,1,6,6,True,0.9967649579271377,0.9966789008976475,0.9967703924970613
set1_chain_twExo0_nEndo6_17,True,1,6,6,True,0.9971888034629185,0.9971888034629183,0.9971888034629183
set1_chain_twExo0_nEndo6_18,True,1,6,6,True,0.9478238587077537,0.8909742547822038,0.9674006311684492
set1_chain_twExo0_nEndo6_19,True,1,6,6,True,0.9916073182051978,0.9916073182051983,0.9916073182051983
set1_chain_twExo0_nEndo6_2,True,1,6,6,True,0.9946931915076022,0.9946931915076023,0.9946931915076023
set1_chain_twExo0_nEndo6_3,True,1,6,6,True,0.9961609359142564,0.9961609359142563,0.9961609359142563
set1_chain_twExo0_nEndo6_4,True,1,6,6,True,0.9948504189835287,0.9948408258082695,0.9950326893134571
set1_chain_twExo0_nEndo6_5,True,1,6,6,True,0.9964692094640079,0.996469209464008,0.996469209464008
set1_chain_twExo0_nEndo6_6,True,1,6,6,True,0.0,0.0,0.0
set1_chain_twExo0_nEndo6_7,True,1,6,6,False,0.99800454382121,0.9979652290003422,0.998006613022308
set1_chain_twExo0_nEndo6_9,True,1,6,6,True,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_0,False,1,4,2,False,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_1,False,1,4,2,True,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_10,False,1,4,2,True,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_11,False,1,4,2,True,0.9946823822620063,0.994189938153553,0.994715781141237
set1_chain_twExo1_nEndo4_12,False,1,4,2,False,,,
set1_chain_twExo1_nEndo4_13,False,1,4,2,False,0.9992720354871139,0.9992122785991197,0.9994218908636454
set1_chain_twExo1_nEndo4_14,False,1,4,2,True,0.9952856644144636,0.9952856644144634,0.9952856644144634
set1_chain_twExo1_nEndo4_15,False,1,4,2,False,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_16,False,1,4,2,False,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_17,False,1,4,2,False,0.9955926400967121,0.9946580153667244,0.9963658289352133
set1_chain_twExo1_nEndo4_18,False,1,4,2,True,0.9980925524230404,0.9980020852732853,0.9980992341399905
set1_chain_twExo1_nEndo4_19,False,1,4,2,True,0.9971319609094197,0.9971319609094197,0.9971319609094197
set1_chain_twExo1_nEndo4_2,False,1,4,2,False,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_3,False,1,4,2,False,0.9992486468905527,0.9986359698212682,0.9993803132731327
set1_chain_twExo1_nEndo4_4,False,1,4,2,True,0.9990123122351807,0.9990123122351809,0.9990123122351809
set1_chain_twExo1_nEndo4_5,False,1,4,2,False,0.9957579599263212,0.995757959926321,0.995757959926321
set1_chain_twExo1_nEndo4_6,False,1,4,2,True,0.0,0.0,0.0
set1_chain_twExo1_nEndo4_7,False,1,4,2,True,0.0,0.0,0.0
