cause,effect,low,query,tinfer,tlearn,upp
V1,V0,0.0,PS,1,40,0.0
V1,V0,0.0,PS,1,96,0.0
V1,V0,0.0,PS,1,53,0.0
V1,V0,0.0,PS,1,82,0.0
V1,V0,0.0,PS,1,55,0.0
V1,V0,0.0,PS,1,46,0.0
V1,V0,0.0,PS,3,83,1.0
V1,V0,0.0,PN,1,83,0.03804152166086643
V1,V0,0.0,PS,1,90,0.0
V1,V0,0.0,PS,1,91,0.0
V1,V0,0.0,PS,1,94,0.0
V1,V0,0.0,PS,2,95,0.0
V1,V0,0.0,PS,1,98,0.0
V1,V0,0.0,PS,2,86,0.0
V1,V0,0.0,PS,1,83,0.0
V1,V0,0.0,PS,1,82,0.0
V1,V0,0.0,PS,1,92,0.0
V1,V0,0.0,PS,1,100,0.0
V1,V0,0.0,PS,58,1496,0.0
V1,V0,0.0,PS,1,165,0.0
V1,V0,0.0,PS,2,136,0.0
V1,V0,0.0,PS,2,133,0.0
V1,V0,0.0,PS,1,116,0.0
V1,V0,0.0,PS,1,123,0.0
V1,V0,0.0,PS,1,106,0.0
V1,V0,0.0,PS,1,134,0.0
V1,V0,0.0,PS,2,90,0.0
V1,V0,0.0,PS,1,72,0.0
V1,V0,0.0,PS,1,93,0.0
V1,V0,0.0,PS,0,79,0.0
V1,V0,0.0,PS,1,56,0.0
V1,V0,0.0,PS,1,92,0.0
V1,V0,0.0,PS,0,73,0.0
V1,V0,0.0,PS,0,63,0.0
V1,V0,0.0,PS,0,59,0.0
V1,V0,0.0,PS,0,70,0.0
V1,V0,0.0,PS,0,66,0.0
V1,V0,0.0,PS,1,77,0.0
V1,V0,0.0,PS,1,97,0.0
V1,V0,0.0,PS,1,92,0.0
V1,V0,0.0,PS,2,86,0.0
V1,V0,0.0,PS,1,52,0.0
V1,V0,0.0,PS,2,74,0.0
V1,V0,0.0,PS,0,74,0.0
V1,V0,0.0,PS,0,49,0.0
V1,V0,0.0,PS,1,47,0.0
V1,V0,0.0,PS,0,73,0.0
V1,V0,0.0,PS,1,74,0.0
V1,V0,0.0,PS,0,40,0.0
V1,V0,0.0,PS,0,68,0.0
V1,V0,0.0,PS,1,71,0.0
V1,V0,0.0,PS,0,50,0.0
