,1,0
0,0,2
1,0,2
2,1,1
3,1,1
4,0,2
5,0,0
6,0,2
7,1,1
8,0,2
9,1,1
10,0,1
11,0,2
12,0,2
13,1,1
14,1,1
15,0,2
16,0,2
17,0,1
18,0,2
19,1,1
20,0,2
21,0,2
22,1,1
23,0,2
24,1,1
25,0,2
26,1,1
27,0,2
28,0,1
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,0,1
37,0,2
38,0,2
39,0,2
40,0,2
41,1,1
42,0,0
43,1,0
44,0,2
45,0,2
46,1,1
47,0,2
48,1,1
49,0,2
50,0,2
51,0,2
52,1,2
53,0,2
54,0,2
55,1,1
56,1,1
57,1,0
58,0,1
59,0,0
60,1,1
61,0,2
62,0,2
63,0,2
64,0,1
65,1,1
66,1,1
67,0,2
68,1,1
69,0,2
70,0,2
71,1,1
72,1,1
73,0,2
74,0,1
75,0,1
76,1,1
77,0,2
78,0,1
79,1,1
80,0,2
81,0,2
82,0,2
83,1,1
84,0,2
85,1,1
86,1,1
87,1,1
88,1,1
89,0,2
90,0,2
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,1,1
97,1,1
98,0,1
99,1,1
100,1,1
101,1,1
102,0,2
103,0,2
104,0,2
105,1,1
106,1,1
107,0,2
108,1,1
109,1,1
110,0,2
111,1,1
112,1,1
113,1,1
114,0,0
115,1,1
116,0,2
117,1,1
118,0,2
119,1,1
120,1,1
121,0,2
122,0,2
123,0,1
124,1,1
125,0,1
126,1,1
127,0,2
128,0,2
129,0,2
130,0,2
131,1,1
132,0,2
133,0,2
134,0,2
135,0,1
136,0,0
137,0,2
138,0,2
139,0,1
140,0,2
141,0,2
142,1,1
143,0,1
144,0,2
145,1,1
146,0,2
147,0,2
148,1,1
149,1,1
150,0,2
151,0,2
152,0,2
153,0,1
154,1,1
155,1,1
156,0,2
157,1,1
158,0,2
159,0,2
160,1,1
161,0,1
162,0,2
163,0,2
164,0,2
165,0,2
166,0,2
167,0,2
168,0,2
169,0,2
170,1,1
171,0,2
172,0,2
173,0,2
174,0,1
175,0,2
176,0,2
177,0,2
178,0,2
179,0,1
180,0,1
181,1,1
182,0,2
183,1,1
184,1,1
185,1,1
186,0,2
187,1,1
188,0,2
189,1,1
190,0,1
191,0,2
192,0,2
193,1,1
194,0,1
195,0,2
196,0,1
197,0,0
198,0,2
199,0,1
200,0,2
201,0,2
202,0,2
203,1,1
204,0,2
205,0,2
206,1,1
207,1,1
208,0,2
209,0,0
210,0,1
211,0,2
212,0,2
213,1,1
214,1,1
215,0,2
216,0,2
217,1,1
218,0,2
219,0,2
220,0,2
221,0,2
222,0,2
223,0,2
224,0,2
225,0,1
226,0,2
227,1,1
228,1,1
229,0,2
230,0,2
231,0,2
232,0,0
233,1,1
234,1,1
235,0,2
236,0,1
237,0,2
238,0,2
239,1,1
240,1,1
241,1,1
242,0,2
243,0,2
244,0,2
245,0,2
246,0,2
247,0,1
248,0,2
249,1,1
250,0,2
251,0,2
252,1,1
253,1,1
254,0,2
255,0,2
256,1,1
257,0,2
258,1,1
259,1,1
260,0,1
261,0,2
262,0,2
263,1,1
264,0,2
265,0,2
266,0,2
267,0,2
268,0,2
269,0,2
270,1,1
271,1,1
272,0,2
273,0,2
274,0,2
275,0,1
276,0,2
277,0,2
278,0,1
279,1,1
