cause,effect,low,query,tinfer,tlearn,upp
V1,V0,0.0,PS,1,66,0.0
V1,V0,0.0,PS,1,78,0.0
V1,V0,0.0,PS,1,75,0.0
V1,V0,0.0,PS,0,58,0.0
V1,V0,0.0,PS,1,80,0.0
V1,V0,0.0,PS,0,73,0.0
V1,V0,0.0,PN,0,73,0.0
V1,V0,0.0,PS,1,71,0.0
V1,V0,0.0,PS,1,78,0.0
V1,V0,0.0,PS,1,91,0.0
V1,V0,0.0,PS,1,76,0.0
V1,V0,0.0,PS,2,75,0.0
V1,V0,0.0,PS,2,86,0.0
V1,V0,0.0,PS,1,75,0.0
V1,V0,0.0,PS,1,78,0.0
V1,V0,0.0,PS,1,65,0.0
V1,V0,0.0,PS,1,72,0.0
V1,V0,0.0,PS,52,1558,0.0
V1,V0,0.0,PS,3,124,0.0
V1,V0,0.0,PS,1,130,0.0
V1,V0,0.0,PS,2,119,0.0
V1,V0,0.0,PS,1,109,0.0
V1,V0,0.0,PS,1,119,0.0
V1,V0,0.0,PS,1,106,0.0
V1,V0,0.0,PS,2,115,0.0
V1,V0,0.0,PS,1,93,0.0
V1,V0,0.0,PS,1,80,0.0
V1,V0,0.0,PS,3,74,0.0
V1,V0,0.0,PS,1,71,0.0
