method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,0.0012293209951574902,0.004036902488298751,false,0.0012293209951574902,0.004036902488298751,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,1.0,,,,
EMCC,-0.004618602442115649,3.017917535365422E-4,false,0.004724029675161057,1.2523301181818156E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,1.0,109.0,343.0,49423.0,5
EMCC,-0.45994713910550206,0.0466542670154603,true,0.4566135493486788,3.840351462740505E-5,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.0,42.0,16.0,298.0,4
EMCC,-0.5307265606443663,0.002039150321893186,true,0.530725697694781,4.104630430893675E-5,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.1,23.0,18.0,10887.0,6
EMCC,-0.4436334872571897,0.002327592769808912,true,0.44375614134984287,5.426095284414656E-5,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.262,45.0,15.0,21646.0,7
EMCC,-0.05270507552786652,0.0013893634592544372,true,0.0527052396744806,2.4141629315008203E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.372,32.0,14.0,33333.0,3
EMCC,-0.04120191664888073,5.989455699867346E-4,true,0.04141593021097434,3.6943639601407223E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.562,11.0,15.0,44023.0,10
EMCC,-0.014198946729497619,4.668030065920409E-4,true,0.014413640703682229,2.8009900304382275E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.579,18.0,15.0,51551.0,6
EMCC,-0.008378729912587701,3.2665826085310633E-4,true,0.008524514545296014,1.2714201030870702E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.91,31.0,8.0,61019.0,7
EMCC,-9.969514114938072E-4,2.9233935709377596E-4,true,0.0010836750268998774,1.1141607057661117E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,0.978,32.0,17.0,72387.0,5
EMCC,-4.5190414288664993E-4,3.013646856085766E-4,true,5.593253209755789E-4,1.0936216596508461E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k075_3.uai,1.0,10.0,9.0,78356.0,8
