,avg_exo_card,tw,exo_dag,avg_indegree,dag,num_exo_vars,exo_cc,endo_dag,exo_tw,endo_tw,endo_cc,avg_endo_indegree,datasize_obs,max_exo_card,markovianity,ratio,model_file,num_vars,num_endo_vars,max_indegree
0,8.0,3.0,([0  1  2  3  4  5  6  7  8]  [(0 1)  (6 2)  (7 3)  (8 4)  (0 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(0 1)  (3 2)  (6 2)  (1 3)  (5 3)  (7 3)  (1 4)  (3 4)  (8 4)  (0 5)]),4,[0][6][7][8],([1  2  3  4  5]  [(3 2)  (1 3)  (5 3)  (1 4)  (3 4)]),1,2.0,[1 5][2][3][4],1.0,1000,16,1,0.9955741875755092,random_mc2_n6_mid3_d1000_05_mr098_r10_100.uai,9,5,5
0,8.0,3.0,([0  1  2  3  4  5  6]  [(4 0)  (5 1)  (6 2)  (4 3)]),1.0,([0  1  2  3  4  5  6]  [(4 0)  (0 1)  (5 1)  (0 2)  (1 2)  (6 2)  (4 3)]),3,[4][5][6],([0  1  2  3]  [(0 1)  (0 2)  (1 2)]),1,2.0,[0 3][1][2],0.75,1500,16,1,0.9976091536239748,random_mc2_n5_mid3_d1000_05_mr098_r10_159.uai,7,4,3
0,4.0,2.0,([0  1  2  3  4]  [(4 0)  (4 2)  (1 3)]),0.8,([0  1  2  3  4]  [(4 0)  (4 2)  (0 3)  (1 3)]),2,[4][1],([0  2  3]  [(0 3)]),1,1.0,[0 2][3],0.3333333333333333,1000,4,1,0.9956162334877928,random_mc2_n5_mid3_d1000_05_mr098_r10_169.uai,5,3,2
0,12.0,3.0,([0  1  2  3  4  5  6  7  8]  [(4 0)  (4 1)  (7 2)  (8 5)  (3 6)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(4 0)  (2 1)  (4 1)  (6 1)  (0 2)  (7 2)  (1 5)  (8 5)  (0 6)  (2 6)  (3 6)]),4,[4][7][3][8],([0  1  2  5  6]  [(2 1)  (6 1)  (0 2)  (1 5)  (0 6)  (2 6)]),1,2.0,[0 1][2][6][5],1.2,1000,24,1,0.9897566652301052,random_mc2_n7_mid3_d1000_05_mr098_r10_165.uai,9,5,4
0,9.333333333333334,3.0,([0  1  2  3  4  5  6]  [(3 0)  (5 1)  (6 2)  (3 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(3 0)  (0 1)  (2 1)  (5 1)  (0 2)  (6 2)  (1 4)  (3 4)]),3,[3][5][6],([0  1  2  4]  [(0 1)  (2 1)  (0 2)  (1 4)]),1,2.0,[0 4][1][2],1.0,2000,16,1,0.989963884751286,random_mc2_n5_mid3_d1000_05_mr098_r10_32.uai,7,4,4
0,6.75,,([0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15]  [(9 0)  (2 1)  (10 3)  (11 4)  (12 5)  (13 6)  (14 7)  (15 8)]),1.1875,([0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15]  [(5 0)  (8 0)  (9 0)  (2 1)  (7 3)  (8 3)  (10 3)  (1 4)  (11 4)  (4 5)  (12 5)  (7 6)  (13 6)  (1 7)  (4 7)  (14 7)  (6 8)  (7 8)  (15 8)]),8,[9][2][10][11][12][13][14][15],([0  1  3  4  5  6  7  8]  [(5 0)  (8 0)  (7 3)  (8 3)  (1 4)  (4 5)  (7 6)  (1 7)  (4 7)  (6 8)  (7 8)]),1,,[0][1][3][4][5][6][7][8],1.375,1000,16,0,0.9858267609446072,random_mc2_n9_mid3_d1000_05_mr098_r10_29.uai,16,8,6
0,5.333333333333333,3.0,([0  1  2  3  4  5  6]  [(3 0)  (5 1)  (6 2)  (3 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(2 0)  (3 0)  (4 0)  (0 1)  (5 1)  (4 2)  (6 2)  (3 4)]),3,[3][5][6],([0  1  2  4]  [(2 0)  (4 0)  (0 1)  (4 2)]),1,2.0,[0 4][1][2],1.0,2000,8,1,0.995332527744326,random_mc2_n5_mid3_d1000_05_mr098_r10_119.uai,7,4,4
0,3.5,3.0,([0  1  2  3  4  5  6  7]  [(5 0)  (6 1)  (4 2)  (7 3)]),1.0,([0  1  2  3  4  5  6  7]  [(3 0)  (5 0)  (2 1)  (3 1)  (6 1)  (4 2)  (2 3)  (7 3)]),4,[5][6][4][7],([0  1  2  3]  [(3 0)  (2 1)  (3 1)  (2 3)]),1,2.0,[0][1][2][3],1.0,1000,4,0,0.9699517451269593,random_mc2_n5_mid3_d1000_05_mr098_r10_130.uai,8,4,4
0,7.75,3.0,([0  1  2  3  4  5  6  7]  [(0 2)  (6 3)  (0 4)  (1 4)  (7 5)]),1.125,([0  1  2  3  4  5  6  7]  [(0 2)  (4 3)  (6 3)  (0 4)  (1 4)  (2 4)  (2 5)  (4 5)  (7 5)]),4,[0 1][6][7],([2  3  4  5]  [(4 3)  (2 4)  (2 5)  (4 5)]),2,2.0,[2 4][3][5],1.0,1000,16,2,0.9987467929621509,random_mc2_n6_mid3_d1000_05_mr098_r10_180.uai,8,4,5
0,2.333333333333333,3.0,([0  1  2  3  4]  [(1 3)  (2 3)  (0 4)  (1 4)  (2 4)]),1.0,([0  1  2  3  4]  [(1 3)  (2 3)  (0 4)  (1 4)  (2 4)]),3,[0 1 2],([3  4]  []),3,0.0,[3 4],0.0,1000,4,2,0.9996544192024238,random_mc2_n5_mid3_d1000_05_mr098_r10_160.uai,5,2,3
0,6.5,3.0,([0  1  2  3  4  5  6  7]  [(6 0)  (4 1)  (5 1)  (4 2)  (5 2)  (7 3)]),1.125,([0  1  2  3  4  5  6  7]  [(1 0)  (6 0)  (4 1)  (5 1)  (4 2)  (5 2)  (1 3)  (2 3)  (7 3)]),4,[6][4 5][7],([0  1  2  3]  [(1 0)  (1 3)  (2 3)]),2,2.0,[0][1 2][3],0.75,1000,16,2,0.9932930319038662,random_mc2_n6_mid3_d1000_05_mr098_r10_143.uai,8,4,4
0,4.666666666666667,2.0,([0  1  2  3  4  5  6]  [(3 0)  (3 1)  (5 2)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(2 0)  (3 0)  (3 1)  (1 2)  (5 2)  (0 4)  (6 4)]),3,[3][5][6],([0  1  2  4]  [(2 0)  (1 2)  (0 4)]),1,1.0,[0 1][2][4],0.75,1500,8,1,0.982849442027477,random_mc2_n5_mid3_d1000_05_mr098_r10_92.uai,7,4,3
0,5.0,2.0,([0  1  2  3  4  5  6  7  8]  [(6 0)  (5 1)  (5 2)  (7 3)  (8 4)]),1.0,([0  1  2  3  4  5  6  7  8]  [(2 0)  (6 0)  (4 1)  (5 1)  (5 2)  (1 3)  (7 3)  (2 4)  (8 4)]),4,[6][5][7][8],([0  1  2  3  4]  [(2 0)  (4 1)  (1 3)  (2 4)]),1,1.0,[0][1 2][3][4],0.8,1000,8,1,0.995263611610624,random_mc2_n6_mid3_d1000_05_mr098_r10_169.uai,9,5,3
