,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,1234,CCVE,464.661,30.033,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
1,3,0,-1,1,2,1234,CCALPeps,549.401,494.506,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
2,3,0,-1,1,2,2468,CCVE,483.49,33.52,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
3,3,0,-1,1,2,2468,CCALPeps,631.759,573.848,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
4,3,0,-1,,2,1234,CCVE,479.695,30.255,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
5,3,0,-1,,2,1234,CCALPeps,579.309,526.102,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
6,3,0,-1,,2,2468,CCVE,450.526,30.285,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
7,3,0,-1,,2,2468,CCALPeps,589.599,535.781,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
8,5,0,-1,1,2,1234,CCVE,510.647,48.575,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
9,5,0,-1,1,2,1234,CCALPeps,853.544,798.912,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
10,5,0,-1,1,2,2468,CCVE,515.239,48.876,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
11,5,0,-1,1,2,2468,CCALPeps,963.229,907.192,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
12,5,0,-1,,2,1234,CCVE,518.391,49.942,0.4938838510515146,0.4938838510515146,0.5061161489484854,0.5061161489484854
13,5,0,-1,,2,1234,CCALPeps,855.884,801.872,0.4938801808127644,0.49390540018468215,0.5060945998153179,0.5061198191872356
14,5,0,-1,,2,2468,CCVE,519.285,50.78,0.3681567546278062,0.3681567546278062,0.6318432453721938,0.6318432453721938
15,5,0,-1,,2,2468,CCALPeps,1002.987,947.372,0.3681874459661882,0.36820683808776206,0.6317931619122379,0.6318125540338118
16,7,0,-1,1,2,1234,CCVE,580.498,81.376,0.9456567989787855,0.9456567989787855,0.05434320102121451,0.05434320102121451
17,7,0,-1,1,2,1234,CCALPeps,1470.752,1410.507,0.9454908959564651,0.9455766145109532,0.0544233854890468,0.0545091040435349
18,7,0,-1,1,2,2468,CCVE,586.873,75.687,0.25,0.25,0.7499999999999999,0.7499999999999999
19,7,0,-1,1,2,2468,CCALPeps,1406.835,1346.164,0.2500639908011998,0.2500639908012,0.7499360091988,0.7499360091988002
20,7,0,-1,,2,1234,CCVE,557.591,74.257,0.292960914230138,0.292960914230138,0.707039085769862,0.707039085769862
21,7,0,-1,,2,1234,CCALPeps,1383.611,1325.849,0.2930786223050381,0.29309389728054785,0.7069061027194521,0.7069213776949619
22,7,0,-1,,2,2468,CCVE,548.579,73.258,0.9699999999999999,0.9699999999999999,0.03,0.03
23,7,0,-1,,2,2468,CCALPeps,1370.435,1311.01,0.969846037393061,0.9699059994020596,0.03009400059794043,0.030153962606939
24,9,0,-1,1,2,1234,CCVE,706.816,182.552,0.940055849432409,0.940055849432409,0.05994415056759095,0.05994415056759095
25,9,0,-1,1,2,1234,CCALPeps,1891.934,1830.258,0.9398799944614555,0.9399738445628804,0.060026155437119665,0.060120005538544415
26,9,0,-1,1,2,2468,CCVE,701.247,174.963,0.24999999999999997,0.24999999999999997,0.75,0.75
27,9,0,-1,1,2,2468,CCALPeps,1950.907,1890.631,0.2500639908011997,0.2500639908012,0.7499360091988,0.7499360091988003
28,9,0,-1,,2,1234,CCVE,710.844,176.733,0.6221209203271266,0.6221209203271266,0.3778790796728734,0.3778790796728734
29,9,0,-1,,2,1234,CCALPeps,1849.438,1788.943,0.6221081886594282,0.6221144603061666,0.3778855396938334,0.3778918113405718
30,9,0,-1,,2,2468,CCVE,691.511,170.383,0.5105361705168748,0.5105361705168748,0.48946382948312517,0.48946382948312517
31,9,0,-1,,2,2468,CCALPeps,1886.883,1820.85,0.510554804845285,0.5105700939053243,0.48942990609467574,0.48944519515471496
