,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,target
0,6,0,-1,1234,6,CVE,,,,,,,4.0
1,6,0,-1,1234,6,CCVE,224.57559999999998,12.596,0.03580297769669864,0.03580297769669864,0.16419702230330135,0.16419702230330135,4.0
2,6,0,-1,1234,6,CCALPeps,406.486,398.227,0.03582868830862649,0.035828688308626525,0.16417131169137347,0.1641713116913735,4.0
3,6,0,-1,2468,6,CVE,,,,,,,4.0
4,6,0,-1,2468,6,CCVE,225.28939999999997,11.1944,0.19343928280358597,0.19343928280358597,0.006560717196414018,0.006560717196414018,4.0
5,6,0,-1,2468,6,CCALPeps,413.2406,404.92659999999995,0.1934177161796628,0.1934177161796628,0.006582283820337209,0.006582283820337211,4.0
6,6,0,-1,3702,6,CVE,,,,,,,4.0
7,6,0,-1,3702,6,CCVE,293.8718,13.030199999999999,0.18502103786816268,0.18502103786816268,0.014978962131837307,0.014978962131837307,4.0
8,6,0,-1,3702,6,CCALPeps,,,,,,,4.0
9,6,0,-1,4936,6,CVE,inf,inf,,,,,4.0
10,6,0,-1,4936,6,CCVE,inf,inf,,,,,4.0
11,6,0,-1,4936,6,CCALPeps,inf,inf,,,,,4.0
12,6,0,-1,6170,6,CVE,inf,inf,,,,,4.0
13,6,0,-1,6170,6,CCVE,inf,inf,,,,,4.0
14,6,0,-1,6170,6,CCALPeps,inf,inf,,,,,4.0
15,6,0,-1,7404,6,CVE,inf,inf,,,,,4.0
16,6,0,-1,7404,6,CCVE,inf,inf,,,,,4.0
17,6,0,-1,7404,6,CCALPeps,inf,inf,,,,,4.0
18,6,0,-1,8638,6,CVE,inf,inf,,,,,4.0
19,6,0,-1,8638,6,CCVE,inf,inf,,,,,4.0
20,6,0,-1,8638,6,CCALPeps,inf,inf,,,,,4.0
21,6,0,-1,9872,6,CVE,inf,inf,,,,,4.0
22,6,0,-1,9872,6,CCVE,inf,inf,,,,,4.0
23,6,0,-1,9872,6,CCALPeps,inf,inf,,,,,4.0
24,6,0,-1,11106,6,CVE,inf,inf,,,,,4.0
25,6,0,-1,11106,6,CCVE,inf,inf,,,,,4.0
26,6,0,-1,11106,6,CCALPeps,inf,inf,,,,,4.0
27,6,0,-1,12340,6,CVE,inf,inf,,,,,4.0
28,6,0,-1,12340,6,CCVE,inf,inf,,,,,4.0
29,6,0,-1,12340,6,CCALPeps,inf,inf,,,,,4.0
30,7,0,-1,1234,6,CVE,inf,inf,,,,,6.0
31,7,0,-1,1234,6,CCVE,inf,inf,,,,,6.0
32,7,0,-1,1234,6,CCALPeps,inf,inf,,,,,6.0
33,7,0,-1,2468,6,CVE,inf,inf,,,,,6.0
34,7,0,-1,2468,6,CCVE,inf,inf,,,,,6.0
35,7,0,-1,2468,6,CCALPeps,inf,inf,,,,,6.0
36,7,0,-1,3702,6,CVE,inf,inf,,,,,6.0
37,7,0,-1,3702,6,CCVE,inf,inf,,,,,6.0
38,7,0,-1,3702,6,CCALPeps,inf,inf,,,,,6.0
39,7,0,-1,4936,6,CVE,inf,inf,,,,,6.0
40,7,0,-1,4936,6,CCVE,inf,inf,,,,,6.0
41,7,0,-1,4936,6,CCALPeps,inf,inf,,,,,6.0
42,7,0,-1,6170,6,CVE,inf,inf,,,,,6.0
43,7,0,-1,6170,6,CCVE,inf,inf,,,,,6.0
44,7,0,-1,6170,6,CCALPeps,inf,inf,,,,,6.0
45,7,0,-1,7404,6,CVE,inf,inf,,,,,6.0
46,7,0,-1,7404,6,CCVE,inf,inf,,,,,6.0
47,7,0,-1,7404,6,CCALPeps,inf,inf,,,,,6.0
48,7,0,-1,8638,6,CVE,inf,inf,,,,,6.0
49,7,0,-1,8638,6,CCVE,inf,inf,,,,,6.0
50,7,0,-1,8638,6,CCALPeps,inf,inf,,,,,6.0
51,7,0,-1,9872,6,CVE,inf,inf,,,,,6.0
52,7,0,-1,9872,6,CCVE,inf,inf,,,,,6.0
53,7,0,-1,9872,6,CCALPeps,inf,inf,,,,,6.0
54,7,0,-1,11106,6,CVE,inf,inf,,,,,6.0
55,7,0,-1,11106,6,CCVE,inf,inf,,,,,6.0
56,7,0,-1,11106,6,CCALPeps,inf,inf,,,,,6.0
57,7,0,-1,12340,6,CVE,inf,inf,,,,,6.0
58,7,0,-1,12340,6,CCVE,inf,inf,,,,,6.0
59,7,0,-1,12340,6,CCALPeps,inf,inf,,,,,6.0
