,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,,1234,6,CVE,23.552,21.763,0.9758576874205844,0.9758576874205844,0.0241423125794155,0.0241423125794155
1,3,0,-1,,1234,6,CCVE,495.434,33.447,0.9758576874205844,0.9758576874205844,0.024142312579415497,0.024142312579415497
2,3,0,-1,,1234,6,CCALPeps,674.622,618.708,0.9757983365664024,0.9757983365664025,0.02420166343359758,0.024201663433597632
3,3,0,-1,,2468,6,CVE,24.395,22.11,0.06596701649175411,0.06596701649175411,0.9340329835082459,0.9340329835082459
4,3,0,-1,,2468,6,CCVE,492.353,34.641,0.06596701649175413,0.06596701649175413,0.9340329835082459,0.9340329835082459
5,3,0,-1,,2468,6,CCALPeps,643.776,591.169,0.06607053680010917,0.06607053680010924,0.9339294631998908,0.9339294631998908
6,3,0,-1,,3702,6,CVE,23.128,21.368,0.08220764183712853,0.08220764183712853,0.9177923581628715,0.9177923581628715
7,3,0,-1,,3702,6,CCVE,507.881,33.288,0.08220764183712855,0.08220764183712855,0.9177923581628715,0.9177923581628715
8,3,0,-1,,3702,6,CCALPeps,614.661,561.499,0.08244288831482985,0.08244288831482999,0.9175571116851701,0.9175571116851702
9,3,0,-1,,4936,6,CVE,22.666,21.038,0.4947368421052631,0.4947368421052631,0.5052631578947369,0.5052631578947369
10,3,0,-1,,4936,6,CCVE,506.293,34.842,0.4947368421052632,0.4947368421052632,0.5052631578947369,0.5052631578947369
11,3,0,-1,,4936,6,CCALPeps,629.836,572.425,0.4948607436698107,0.49486074366981114,0.5051392563301889,0.5051392563301893
12,3,0,-1,,6170,6,CVE,23.67,21.683,0.6980351602895554,0.6980351602895554,0.3019648397104447,0.3019648397104447
13,3,0,-1,,6170,6,CCVE,520.57,33.424,0.6980351602895553,0.6980351602895553,0.3019648397104447,0.3019648397104447
14,3,0,-1,,6170,6,CCALPeps,665.769,613.774,0.6979801253565021,0.6979801253565023,0.30201987464349767,0.30201987464349783
15,3,0,-1,,7404,6,CVE,23.266,21.41,0.05502526670409882,0.05502526670409882,0.9449747332959012,0.9449747332959012
16,3,0,-1,,7404,6,CCVE,528.465,34.851,0.05502526670409882,0.05502526670409882,0.9449747332959012,0.9449747332959012
17,3,0,-1,,7404,6,CCALPeps,636.43,583.328,0.055535191598846616,0.05553519159884679,0.9444648084011532,0.9444648084011534
18,3,0,-1,,8638,6,CVE,23.974,22.006,0.8664047151277013,0.8664047151277013,0.1335952848722986,0.1335952848722986
19,3,0,-1,,8638,6,CCVE,489.071,31.602,0.8664047151277013,0.8664047151277013,0.1335952848722986,0.1335952848722986
20,3,0,-1,,8638,6,CCALPeps,667.978,612.873,0.865885229217923,0.865885229217924,0.13411477078207606,0.13411477078207698
21,3,0,-1,,9872,6,CVE,23.096,21.268,1.0,1.0,0.0,0.0
22,3,0,-1,,9872,6,CCVE,510.44,36.666,1.0,1.0,0.0,0.0
23,3,0,-1,,9872,6,CCALPeps,628.267,573.838,0.9990662606326166,0.9990662606326166,0.0009337393673833728,0.0009337393673833905
24,3,0,-1,,11106,6,CVE,22.817,21.118,0.06747404844290658,0.06747404844290658,0.9325259515570934,0.9325259515570934
25,3,0,-1,,11106,6,CCVE,504.058,36.3,0.06747404844290657,0.06747404844290657,0.9325259515570934,0.9325259515570934
26,3,0,-1,,11106,6,CCALPeps,671.759,618.508,0.06756790924102604,0.0675679092410261,0.9324320907589739,0.9324320907589739
27,3,0,-1,,12340,6,CVE,25.741,23.656,0.03389830508474576,0.03389830508474576,0.9661016949152542,0.9661016949152542
28,3,0,-1,,12340,6,CCVE,509.859,35.767,0.03389830508474576,0.03389830508474576,0.9661016949152542,0.9661016949152542
29,3,0,-1,,12340,6,CCALPeps,701.749,644.223,0.034019683548024864,0.03401968354802491,0.9659803164519751,0.9659803164519751
30,3,0,-1,1,1234,6,CVE,24.989,22.405,0.9758576874205844,0.9758576874205844,0.0241423125794155,0.0241423125794155
31,3,0,-1,1,1234,6,CCVE,509.247,35.339,0.9758576874205844,0.9758576874205844,0.0241423125794155,0.0241423125794155
32,3,0,-1,1,1234,6,CCALPeps,654.098,599.36,0.9757983365664024,0.9757983365664025,0.02420166343359758,0.024201663433597632
33,3,0,-1,1,2468,6,CVE,24.428,22.055,0.06596701649175411,0.06596701649175411,0.9340329835082459,0.9340329835082459
34,3,0,-1,1,2468,6,CCVE,489.077,31.566,0.06596701649175413,0.06596701649175413,0.9340329835082459,0.9340329835082459
35,3,0,-1,1,2468,6,CCALPeps,606.676,553.587,0.06607053680010917,0.06607053680010924,0.9339294631998908,0.9339294631998908
36,3,0,-1,1,3702,6,CVE,22.113,20.406,0.08220764183712853,0.08220764183712853,0.9177923581628715,0.9177923581628715
37,3,0,-1,1,3702,6,CCVE,505.735,33.261,0.08220764183712855,0.08220764183712855,0.9177923581628715,0.9177923581628715
38,3,0,-1,1,3702,6,CCALPeps,649.074,594.742,0.08244288831482985,0.08244288831482997,0.9175571116851701,0.9175571116851702
39,3,0,-1,1,4936,6,CVE,23.748,21.594,0.4947368421052631,0.4947368421052631,0.5052631578947369,0.5052631578947369
40,3,0,-1,1,4936,6,CCVE,528.375,33.908,0.4947368421052632,0.4947368421052632,0.5052631578947369,0.5052631578947369
41,3,0,-1,1,4936,6,CCALPeps,597.317,545.349,0.4948607436698107,0.49486074366981114,0.5051392563301889,0.5051392563301893
42,3,0,-1,1,6170,6,CVE,25.677,23.26,0.6980351602895554,0.6980351602895554,0.3019648397104447,0.3019648397104447
43,3,0,-1,1,6170,6,CCVE,521.235,34.588,0.6980351602895553,0.6980351602895553,0.3019648397104447,0.3019648397104447
44,3,0,-1,1,6170,6,CCALPeps,673.362,622.465,0.6979801253565021,0.6979801253565023,0.30201987464349767,0.30201987464349783
45,3,0,-1,1,7404,6,CVE,25.428,23.023,0.05502526670409882,0.05502526670409882,0.9449747332959012,0.9449747332959012
46,3,0,-1,1,7404,6,CCVE,528.374,34.37,0.05502526670409882,0.05502526670409882,0.9449747332959012,0.9449747332959012
47,3,0,-1,1,7404,6,CCALPeps,643.309,588.319,0.0555351915988466,0.05553519159884679,0.9444648084011532,0.9444648084011534
48,3,0,-1,1,8638,6,CVE,24.904,22.554,0.8664047151277013,0.8664047151277013,0.1335952848722986,0.1335952848722986
49,3,0,-1,1,8638,6,CCVE,506.928,35.425,0.8664047151277013,0.8664047151277013,0.1335952848722986,0.1335952848722986
50,3,0,-1,1,8638,6,CCALPeps,627.629,574.161,0.865885229217923,0.865885229217924,0.13411477078207606,0.13411477078207698
51,3,0,-1,1,9872,6,CVE,23.832,21.798,1.0,1.0,0.0,0.0
52,3,0,-1,1,9872,6,CCVE,498.362,34.091,1.0,1.0,0.0,0.0
53,3,0,-1,1,9872,6,CCALPeps,665.752,610.391,0.9990662606326166,0.9990662606326166,0.0009337393673833727,0.0009337393673833905
54,3,0,-1,1,11106,6,CVE,24.462,22.569,0.06747404844290658,0.06747404844290658,0.9325259515570934,0.9325259515570934
55,3,0,-1,1,11106,6,CCVE,502.771,34.717,0.06747404844290657,0.06747404844290657,0.9325259515570934,0.9325259515570934
56,3,0,-1,1,11106,6,CCALPeps,715.252,659.245,0.06756790924102603,0.0675679092410261,0.9324320907589739,0.9324320907589739
57,3,0,-1,1,12340,6,CVE,24.301,22.269,0.03389830508474576,0.03389830508474576,0.9661016949152542,0.9661016949152542
58,3,0,-1,1,12340,6,CCVE,502.566,32.258,0.033898305084745756,0.033898305084745756,0.9661016949152542,0.9661016949152542
59,3,0,-1,1,12340,6,CCALPeps,669.91,613.731,0.034019683548024864,0.03401968354802491,0.9659803164519751,0.9659803164519751
60,4,0,-1,,1234,6,CVE,25.697,21.351,0.99648003241409,0.99648003241409,0.00351996758591,0.00351996758591
61,4,0,-1,,1234,6,CCVE,568.512,52.702,0.99648003241409,0.99648003241409,0.0035199675859099995,0.0035199675859099995
62,4,0,-1,,1234,6,CCALPeps,1170.978,1112.234,0.996466138416805,0.996466138416805,0.0035338615831949716,0.0035338615831950193
63,4,0,-1,,2468,6,CVE,24.68,20.684,0.9044497198746558,0.9044497198746558,0.09555028012534424,0.09555028012534424
64,4,0,-1,,2468,6,CCVE,582.626,48.347,0.9044497198746557,0.9044497198746557,0.09555028012534424,0.09555028012534424
65,4,0,-1,,2468,6,CCALPeps,1115.534,1060.898,0.9042418957932374,0.9042418957932375,0.09575810420676245,0.09575810420676252
66,4,0,-1,,3702,6,CVE,26.167,21.749,0.12964046649944852,0.12964046649944852,0.8703595335005515,0.8703595335005515
67,4,0,-1,,3702,6,CCVE,573.709,60.692,0.1296404664994485,0.1296404664994485,0.8703595335005515,0.8703595335005515
68,4,0,-1,,3702,6,CCALPeps,1023.266,966.535,0.12970577292528135,0.12970577292528152,0.8702942270747185,0.8702942270747186
69,4,0,-1,,4936,6,CVE,24.625,20.613,0.0355600345522603,0.0355600345522603,0.9644399654477397,0.9644399654477397
70,4,0,-1,,4936,6,CCVE,573.556,52.816,0.0355600345522603,0.0355600345522603,0.9644399654477397,0.9644399654477397
71,4,0,-1,,4936,6,CCALPeps,955.754,901.514,0.035655089688149066,0.03565508968814914,0.9643449103118509,0.964344910311851
72,4,0,-1,,6170,6,CVE,25.085,21.312,0.0,0.0,1.0,1.0
73,4,0,-1,,6170,6,CCVE,565.212,52.397,0.0,0.0,1.0,1.0
74,4,0,-1,,6170,6,CCALPeps,1014.843,960.487,0.001257953744363061,0.0012579537443630625,0.9987420462556369,0.9987420462556369
75,4,0,-1,,7404,6,CVE,26.316,22.168,0.11018141887189323,0.11018141887189323,0.8898185811281067,0.8898185811281067
76,4,0,-1,,7404,6,CCVE,575.271,59.649,0.1101814188718932,0.1101814188718932,0.8898185811281067,0.8898185811281067
77,4,0,-1,,7404,6,CCALPeps,1003.342,945.749,0.11028794722478627,0.11028794722478649,0.8897120527752135,0.8897120527752137
78,4,0,-1,,8638,6,CVE,26.138,21.262,0.018116089405926492,0.018116089405926492,0.9818839105940734,0.9818839105940734
79,4,0,-1,,8638,6,CCVE,574.657,51.646,0.0181160894059265,0.0181160894059265,0.9818839105940734,0.9818839105940734
80,4,0,-1,,8638,6,CCALPeps,1046.775,991.982,0.01815451469300318,0.018154514693003207,0.9818454853069968,0.9818454853069968
81,4,0,-1,,9872,6,CVE,24.749,20.801,0.05591219714226548,0.05591219714226548,0.9440878028577344,0.9440878028577344
82,4,0,-1,,9872,6,CCVE,599.638,54.385,0.05591219714226549,0.05591219714226549,0.9440878028577346,0.9440878028577346
83,4,0,-1,,9872,6,CCALPeps,1138.671,1081.178,0.05604168241410251,0.05604168241410255,0.9439583175858974,0.9439583175858975
84,4,0,-1,,11106,6,CVE,26.248,21.786,0.9261929942633721,0.9261929942633721,0.07380700573662789,0.07380700573662789
85,4,0,-1,,11106,6,CCVE,618.927,61.061,0.9261929942633721,0.9261929942633721,0.07380700573662789,0.07380700573662789
86,4,0,-1,,11106,6,CCALPeps,938.972,887.163,0.9260424576057511,0.9260424576057512,0.0739575423942488,0.0739575423942489
87,4,0,-1,,12340,6,CVE,24.677,20.715,0.0423413321372505,0.0423413321372505,0.9576586678627494,0.9576586678627494
88,4,0,-1,,12340,6,CCVE,578.925,60.833,0.04234133213725049,0.04234133213725049,0.9576586678627494,0.9576586678627494
89,4,0,-1,,12340,6,CCALPeps,1028.673,973.427,0.04246166993767281,0.04246166993767288,0.9575383300623271,0.9575383300623271
90,4,0,-1,1,1234,6,CVE,25.3,21.038,0.974853756742384,0.974853756742384,0.025146243257616045,0.025146243257616045
91,4,0,-1,1,1234,6,CCVE,575.213,64.459,0.974853756742384,0.974853756742384,0.025146243257616045,0.025146243257616045
92,4,0,-1,1,1234,6,CCALPeps,1071.799,1017.639,0.9747905167547524,0.9747905167547525,0.025209483245247563,0.025209483245247622
93,4,0,-1,1,2468,6,CVE,28.112,23.604,0.12952236254866584,0.12952236254866584,0.8704776374513341,0.8704776374513341
94,4,0,-1,1,2468,6,CCVE,562.732,58.139,0.12952236254866584,0.12952236254866584,0.8704776374513341,0.8704776374513341
95,4,0,-1,1,2468,6,CCALPeps,1145.719,1089.587,0.12969470512586107,0.12969470512586118,0.8703052948741388,0.870305294874139
96,4,0,-1,1,3702,6,CVE,26.62,22.106,0.819695918238597,0.819695918238597,0.18030408176140306,0.18030408176140306
97,4,0,-1,1,3702,6,CCVE,578.366,56.937,0.8196959182385969,0.8196959182385969,0.18030408176140306,0.18030408176140306
98,4,0,-1,1,3702,6,CCALPeps,955.34,902.988,0.8196400442272245,0.8196400442272247,0.18035995577277533,0.18035995577277553
99,4,0,-1,1,4936,6,CVE,24.43,20.239,0.020097898070832124,0.020097898070832124,0.9799021019291679,0.9799021019291679
100,4,0,-1,1,4936,6,CCVE,573.229,70.996,0.020097898070832138,0.020097898070832138,0.9799021019291678,0.9799021019291678
101,4,0,-1,1,4936,6,CCALPeps,998.379,945.961,0.020160232357377364,0.020160232357377395,0.9798397676426226,0.9798397676426226
102,4,0,-1,1,6170,6,CVE,24.406,20.552,0.0,0.0,1.0,1.0
103,4,0,-1,1,6170,6,CCVE,565.044,58.905,0.0,0.0,1.0,1.0
104,4,0,-1,1,6170,6,CCALPeps,1015.117,960.263,0.0009220114603300287,0.0009220114603300298,0.99907798853967,0.99907798853967
105,4,0,-1,1,7404,6,CVE,26.613,22.129,0.006279289172092736,0.006279289172092736,0.9937207108279072,0.9937207108279072
106,4,0,-1,1,7404,6,CCVE,580.261,70.27,0.0062792891720927346,0.0062792891720927346,0.9937207108279072,0.9937207108279072
107,4,0,-1,1,7404,6,CCALPeps,946.069,888.724,0.006344660648829662,0.006344660648829702,0.9936553393511703,0.9936553393511703
108,4,0,-1,1,8638,6,CVE,27.492,22.953,0.990583497732311,0.990583497732311,0.009416502267688988,0.009416502267688988
109,4,0,-1,1,8638,6,CCVE,590.657,64.35,0.990583497732311,0.990583497732311,0.009416502267688993,0.009416502267688993
110,4,0,-1,1,8638,6,CCALPeps,1083.707,1027.584,0.9905298737269096,0.9905298737269096,0.00947012627309038,0.009470126273090407
111,4,0,-1,1,9872,6,CVE,24.329,20.556,1.0,1.0,0.0,0.0
112,4,0,-1,1,9872,6,CCVE,576.612,63.89,1.0,1.0,0.0,0.0
113,4,0,-1,1,9872,6,CCALPeps,1088.86,1032.546,0.9998996275116584,0.9998996275116584,0.00010037248834158778,0.00010037248834160462
114,4,0,-1,1,11106,6,CVE,28.301,23.601,0.11902701663301606,0.11902701663301606,0.8809729833669839,0.8809729833669839
115,4,0,-1,1,11106,6,CCVE,557.05,61.435,0.11902701663301606,0.11902701663301606,0.8809729833669839,0.8809729833669839
116,4,0,-1,1,11106,6,CCALPeps,969.482,914.424,0.11917424079847477,0.11917424079847493,0.8808257592015251,0.8808257592015253
