,N,dovar,obsvar,target,endovarsize,exovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,,1234,CCVE,445.868,31.819,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
1,3,0,-1,1,2,,1234,CCALPeps,545.096,492.797,0.893736663037503,0.8938944131159062,0.10610558688409374,0.10626333696249696
2,3,0,-1,1,2,,2468,CCVE,480.056,30.451,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
3,3,0,-1,1,2,,2468,CCALPeps,584.17,530.874,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
4,3,0,-1,1,2,,3702,CCVE,430.404,28.876,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
5,3,0,-1,1,2,,3702,CCALPeps,516.392,466.391,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
6,3,0,-1,,2,,1234,CCVE,445.45,29.973,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
7,3,0,-1,,2,,1234,CCALPeps,inf,inf,,,,
8,3,0,-1,,2,,2468,CCVE,inf,inf,,,,
9,3,0,-1,,2,,2468,CCALPeps,inf,inf,,,,
10,3,0,-1,,2,,3702,CCVE,inf,inf,,,,
11,3,0,-1,,2,,3702,CCALPeps,inf,inf,,,,
12,5,0,-1,1,2,,1234,CCVE,inf,inf,,,,
13,5,0,-1,1,2,,1234,CCALPeps,inf,inf,,,,
14,5,0,-1,1,2,,2468,CCVE,inf,inf,,,,
15,5,0,-1,1,2,,2468,CCALPeps,inf,inf,,,,
16,5,0,-1,1,2,,3702,CCVE,inf,inf,,,,
17,5,0,-1,1,2,,3702,CCALPeps,inf,inf,,,,
18,5,0,-1,,2,,1234,CCVE,inf,inf,,,,
19,5,0,-1,,2,,1234,CCALPeps,,,,,,
20,5,0,-1,,2,,2468,CCVE,,,,,,
21,5,0,-1,,2,,2468,CCALPeps,,,,,,
22,5,0,-1,,2,,3702,CCVE,,,,,,
23,5,0,-1,,2,,3702,CCALPeps,,,,,,
24,7,0,-1,1,2,,1234,CCVE,,,,,,
25,7,0,-1,1,2,,1234,CCALPeps,,,,,,
26,7,0,-1,1,2,,2468,CCVE,,,,,,
27,7,0,-1,1,2,,2468,CCALPeps,,,,,,
28,7,0,-1,1,2,,3702,CCVE,,,,,,
29,7,0,-1,1,2,,3702,CCALPeps,,,,,,
30,7,0,-1,,2,,1234,CCVE,,,,,,
31,7,0,-1,,2,,1234,CCALPeps,,,,,,
32,7,0,-1,,2,,2468,CCVE,,,,,,
33,7,0,-1,,2,,2468,CCALPeps,,,,,,
34,7,0,-1,,2,,3702,CCVE,,,,,,
35,7,0,-1,,2,,3702,CCALPeps,,,,,,
