,N,dovar,obsvar,target,endovarsize,exovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,4,1234,CCALPeps,447.786,392.906,0.9194717024125095,0.9892248198385158,0.010775180161484155,0.08052829758749044
1,3,0,-1,1,2,4,2468,CCALPeps,465.408,414.435,0.9997168162787909,0.9997168162787909,0.0002831837212090571,0.0002831837212091087
2,3,0,-1,1,2,4,3702,CCALPeps,505.475,452.079,0.2500300109965006,0.2500549835037495,0.7499450164962504,0.7499699890034994
3,3,0,-1,1,2,5,1234,CCALPeps,544.938,493.619,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
4,3,0,-1,1,2,5,2468,CCALPeps,589.662,536.719,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
5,3,0,-1,1,2,5,3702,CCALPeps,528.049,474.252,0.024118100506001536,0.024118100506001567,0.9758818994939984,0.9758818994939985
6,3,0,-1,1,2,6,1234,CCALPeps,670.488,616.236,0.14514005371416638,0.14515459624539795,0.854845403754602,0.8548599462858336
7,3,0,-1,1,2,6,2468,CCALPeps,586.272,532.531,0.9595800762082187,0.95959509587546,0.04040490412454001,0.04041992379178124
8,3,0,-1,1,2,6,3702,CCALPeps,590.57,537.202,0.011930173160989226,0.9822998905248376,0.01770010947516243,0.9880698268390108
9,3,0,-1,1,2,7,1234,CCALPeps,752.939,695.694,0.9468169742081437,0.9468417529931052,0.05315824700689481,0.05318302579185628
10,3,0,-1,1,2,7,2468,CCALPeps,699.106,645.103,0.18366972763362902,0.25656808748263893,0.7434319125173611,0.816330272366371
11,3,0,-1,1,2,7,3702,CCALPeps,688.662,638.686,0.07115189898762672,0.974691551291821,0.025308448708179054,0.9288481010123733
12,3,0,-1,1,2,8,1234,CCALPeps,925.304,868.473,0.018173452377089082,0.01817784185640143,0.9818221581435985,0.9818265476229109
13,3,0,-1,1,2,8,2468,CCALPeps,839.66,783.489,0.04805653118242913,0.1633412162013912,0.8366587837986088,0.9519434688175709
14,3,0,-1,1,2,8,3702,CCALPeps,819.921,763.195,0.002011533781622239,0.042474744426927356,0.9575252555730727,0.9979884662183778
15,3,0,-1,,2,4,1234,CCALPeps,457.752,405.036,0.9194717024125095,0.9892248198385158,0.010775180161484155,0.08052829758749044
16,3,0,-1,,2,4,2468,CCALPeps,480.726,429.796,0.9997168162787909,0.9997168162787909,0.0002831837212090571,0.0002831837212091087
17,3,0,-1,,2,4,3702,CCALPeps,447.218,395.35,0.2500300109965006,0.2500549835037495,0.7499450164962504,0.7499699890034994
18,3,0,-1,,2,5,1234,CCALPeps,552.865,498.911,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
19,3,0,-1,,2,5,2468,CCALPeps,590.986,538.348,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
20,3,0,-1,,2,5,3702,CCALPeps,559.292,501.344,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
21,3,0,-1,,2,6,1234,CCALPeps,631.346,576.791,0.14514005371416638,0.14515459624539795,0.854845403754602,0.8548599462858336
22,3,0,-1,,2,6,2468,CCALPeps,589.197,537.406,0.9595800762082187,0.95959509587546,0.04040490412454001,0.04041992379178124
23,3,0,-1,,2,6,3702,CCALPeps,603.304,548.536,0.011930173160989226,0.9822998905248376,0.01770010947516243,0.9880698268390108
24,3,0,-1,,2,7,1234,CCALPeps,721.505,664.649,0.9468169742081437,0.9468417529931052,0.05315824700689481,0.05318302579185628
25,3,0,-1,,2,7,2468,CCALPeps,692.293,640.254,0.18366972763362902,0.25656808748263893,0.7434319125173611,0.816330272366371
26,3,0,-1,,2,7,3702,CCALPeps,696.46,643.949,0.07115189898762674,0.9746915512918208,0.025308448708179165,0.9288481010123733
27,3,0,-1,,2,8,1234,CCALPeps,869.135,817.366,0.01817345237708908,0.01817784185640143,0.9818221581435985,0.9818265476229109
28,3,0,-1,,2,8,2468,CCALPeps,800.418,747.892,0.04805653118242913,0.16334121620139117,0.8366587837986088,0.9519434688175709
29,3,0,-1,,2,8,3702,CCALPeps,812.714,759.248,0.00201153378162224,0.042474744426927356,0.9575252555730727,0.9979884662183778
30,5,0,-1,1,2,4,1234,CCALPeps,655.381,598.997,0.7850970571025406,0.967076996194399,0.03292300380560098,0.21490294289745937
31,5,0,-1,1,2,4,2468,CCALPeps,720.083,658.408,0.9997955436270578,0.9997955436270578,0.00020445637294219665,0.00020445637294220646
32,5,0,-1,1,2,4,3702,CCALPeps,761.95,705.416,0.25003001099650046,0.25005498350374955,0.7499450164962504,0.7499699890034995
33,5,0,-1,1,2,5,1234,CCALPeps,800.135,744.07,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
34,5,0,-1,1,2,5,2468,CCALPeps,947.543,888.526,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
35,5,0,-1,1,2,5,3702,CCALPeps,910.191,850.567,0.004990174084024147,0.0049901740840241505,0.9950098259159759,0.9950098259159759
36,5,0,-1,1,2,6,1234,CCALPeps,1117.712,1061.224,0.1418886592851637,0.14190325021748967,0.8580967497825103,0.8581113407148363
37,5,0,-1,1,2,6,2468,CCALPeps,1228.035,1171.201,0.9852708618997705,0.985276481588376,0.014723518411624033,0.014729138100229466
38,5,0,-1,1,2,6,3702,CCALPeps,1124.041,1069.719,0.009498394314872751,0.9778153387509528,0.022184661249047177,0.9905016056851272
39,5,0,-1,1,2,7,1234,CCALPeps,1189.239,1132.687,0.8817907828607487,0.8818420774695708,0.11815792253042923,0.11820921713925125
40,5,0,-1,1,2,7,2468,CCALPeps,1464.354,1404.286,0.13321752536819242,0.19077102814156016,0.8092289718584398,0.8667824746318076
41,5,0,-1,1,2,7,3702,CCALPeps,1435.189,1380.431,0.15764022950650125,0.9894833231130374,0.010516676886962562,0.8423597704934987
42,5,0,-1,1,2,8,1234,CCALPeps,2002.008,1939.471,0.41102994484228683,0.41108949261279143,0.5889105073872085,0.5889700551577132
43,5,0,-1,1,2,8,2468,CCALPeps,1915.995,1860.706,0.040376905315167876,0.13994703029447092,0.860052969705529,0.9596230946848321
44,5,0,-1,1,2,8,3702,CCALPeps,1977.863,1921.407,0.036563205753318506,0.455105560935925,0.544894439064075,0.9634367942466815
45,5,0,-1,,2,4,1234,CCALPeps,674.745,620.433,0.8538113012010478,0.9775589718915831,0.022441028108416874,0.14618869879895224
46,5,0,-1,,2,4,2468,CCALPeps,711.982,656.786,0.11040015865706848,0.11040015865706858,0.8895998413429315,0.8895998413429315
47,5,0,-1,,2,4,3702,CCALPeps,735.98,678.883,0.76994600539946,0.7699460053994602,0.23005399460053977,0.23005399460054
48,5,0,-1,,2,5,1234,CCALPeps,823.577,768.642,0.4938801808127644,0.49390540018468215,0.5060945998153179,0.5061198191872356
49,5,0,-1,,2,5,2468,CCALPeps,995.19,936.372,0.3681874459661882,0.368206838087762,0.631793161912238,0.6318125540338118
50,5,0,-1,,2,5,3702,CCALPeps,990.639,932.092,0.364092340338614,0.3640923403386143,0.6359076596613857,0.635907659661386
51,5,0,-1,,2,6,1234,CCALPeps,1126.235,1073.139,0.7908791682927141,0.7909101496044533,0.20908985039554678,0.2091208317072859
52,5,0,-1,,2,6,2468,CCALPeps,1040.388,985.605,0.9972665971670143,0.997267356767103,0.0027326432328970275,0.002733402832985721
