,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,5,0,-1,1234,CVE,3.817,3.3298,0.07481582537517055,0.07481582537517055,0.09159618008185537,0.09159618008185537,0.033587994542974085,0.033587994542974085
1,5,0,-1,1234,CCVE,140.3286,47.087,0.033329723876556576,0.08764192139737995,0.08855441256090958,0.13201965065502183,0.022096069868995635,0.036697347049269094
2,5,0,-1,1234,CCALPeps,2007.2432000000001,2001.8412,0.045005473619487764,0.07582614703505294,0.0903126833606526,0.12998603629843491,0.02500849008207733,0.033861169604294486
3,6,0,-1,1234,CVE,3.8324,3.2359999999999998,0.026600000000000002,0.026600000000000002,0.1734,0.1734,,
4,6,0,-1,1234,CCVE,106.3262,15.234800000000002,0.026560000000000007,0.02776,0.17224,0.17343999999999998,,
5,6,0,-1,1234,CCALPeps,1689.0952000000002,1685.0896,0.02659093996140489,0.02778878134084589,0.17221121865915412,0.1734090600385951,,
6,7,0,-1,1234,CVE,4.7042,4.1148,0.026600000000000002,0.026600000000000002,0.17340000000000003,0.17340000000000003,,
7,7,0,-1,1234,CCVE,151.829,36.9438,0.02656,0.02776,0.17224,0.17343999999999998,,
8,7,0,-1,1234,CCALPeps,2676.6509999999994,2671.9341999999997,0.02659093996140489,0.0277887813408459,0.1722112186591541,0.1734090600385951,,
9,8,0,-1,1234,CVE,5.4348,4.7266,0.010876596543951914,0.010876596543951914,0.03720394440270473,0.03720394440270473,0.15191945905334334,0.15191945905334334
10,8,0,-1,1234,CCVE,201.9094,85.1096,0.010873628850488353,0.010962659654395194,0.037072667167543205,0.0381962584522915,0.1509301126972201,0.15196467317806162
11,8,0,-1,1234,CCALPeps,4289.3464,4284.118399999999,0.010898997087174376,0.010987815608193,0.037201879992319026,0.03812249882942752,0.1508896855623795,0.1518991229205066
12,9,0,-1,1234,CVE,11.366200000000001,10.577200000000001,0.010876596543951915,0.010876596543951915,0.03720394440270474,0.03720394440270474,0.15191945905334336,0.15191945905334336
13,9,0,-1,1234,CCVE,283.8046,146.92019999999997,0.010873628850488357,0.010962659654395194,0.037072667167543205,0.03819625845229151,0.15093011269722015,0.15196467317806162
14,9,0,-1,1234,CCALPeps,5560.9516,5555.324,0.01087689849536555,0.01096553692251697,0.03718245707002392,0.03810353192996284,0.1509309311475202,0.15194064443461053
