,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,1234,CVE,24.772,22.663,0.9408428921252738,0.9408428921252738,0.059157107874726125,0.059157107874726125
1,3,0,-1,1,2,1234,CCVE,513.357,41.737,0.919476177208136,0.9892654178067776,0.010734582193222481,0.08052382279186404
2,3,0,-1,1,2,1234,CCALPeps,497.849,439.144,0.9194717024125095,0.9892248198385158,0.010775180161484155,0.08052829758749044
3,3,0,-1,1,2,2468,CVE,22.894,21.169,1.0,1.0,0.0,0.0
4,3,0,-1,1,2,2468,CCVE,476.028,30.099,1.0,1.0,0.0,0.0
5,3,0,-1,1,2,2468,CCALPeps,530.927,475.625,0.9997168162787909,0.9997168162787909,0.0002831837212090571,0.0002831837212091087
6,3,0,-1,1,2,3702,CVE,25.524,22.506,0.25,0.25,0.75,0.75
7,3,0,-1,1,2,3702,CCVE,464.057,27.971,0.25,0.25,0.75,0.75
8,3,0,-1,1,2,3702,CCALPeps,477.35,423.689,0.2500300109965006,0.2500549835037495,0.7499450164962504,0.7499699890034994
9,5,0,-1,1,2,1234,CVE,27.733,23.113,0.835739423316901,0.835739423316901,0.1642605766830991,0.1642605766830991
10,5,0,-1,1,2,1234,CCVE,664.825,195.726,0.7850824812412868,0.9671936156989929,0.03280638430100712,0.21491751875871323
11,5,0,-1,1,2,1234,CCALPeps,708.825,646.223,0.7850970571025406,0.967076996194399,0.03292300380560098,0.21490294289745937
12,5,0,-1,1,2,2468,CVE,26.744,22.368,1.0,1.0,0.0,0.0
13,5,0,-1,1,2,2468,CCVE,530.213,41.462,1.0,1.0,0.0,0.0
14,5,0,-1,1,2,2468,CCALPeps,718.819,657.013,0.9997955436270578,0.9997955436270578,0.00020445637294219665,0.00020445637294220646
15,5,0,-1,1,2,3702,CVE,25.857,21.656,0.25,0.25,0.75,0.75
16,5,0,-1,1,2,3702,CCVE,552.414,41.838,0.25,0.25,0.75,0.75
17,5,0,-1,1,2,3702,CCALPeps,746.917,687.115,0.25003001099650046,0.25005498350374955,0.7499450164962504,0.7499699890034995
18,7,0,-1,1,2,1234,CVE,31.501,26.647,0.7294795578402106,0.7294795578402106,0.27052044215978943,0.27052044215978943
19,7,0,-1,1,2,1234,CCVE,579.172,90.203,0.6594075817438042,0.9398509932867528,0.06014900671324717,0.34059241825619574
20,7,0,-1,1,2,1234,CCALPeps,1062.447,1001.534,0.6595041657956056,0.9396627311627735,0.06033726883722645,0.3404958342043944
21,7,0,-1,1,2,2468,CVE,31.431,26.416,1.0,1.0,0.0,0.0
22,7,0,-1,1,2,2468,CCVE,577.226,61.586,1.0,1.0,0.0,0.0
23,7,0,-1,1,2,2468,CCALPeps,1044.659,983.503,0.9997991640553114,0.9997991640553114,0.00020083594468855477,0.00020083594468855992
24,7,0,-1,1,2,3702,CVE,32.792,27.004,0.25000000000000006,0.25000000000000006,0.75,0.75
25,7,0,-1,1,2,3702,CCVE,636.378,74.089,0.25,0.25,0.75,0.75
26,7,0,-1,1,2,3702,CCALPeps,1110.035,1049.848,0.25003001099650046,0.2500549835037496,0.7499450164962504,0.7499699890034995
27,9,0,-1,1,2,1234,CVE,35.673,32.352,0.7322583759621466,0.7322583759621466,0.26774162403785334,0.26774162403785334
28,9,0,-1,1,2,1234,CCVE,712.335,120.55,0.6625732438383956,0.9406446811692002,0.05935531883079982,0.33742675616160445
29,9,0,-1,1,2,1234,CCALPeps,1662.156,1594.531,0.6626654016008817,0.9404577469069355,0.059542253093064545,0.3373345983991183
30,9,0,-1,1,2,2468,CVE,34.37,31.564,1.0,1.0,0.0,0.0
31,9,0,-1,1,2,2468,CCVE,658.627,122.528,1.0,1.0,0.0,0.0
32,9,0,-1,1,2,2468,CCALPeps,1174.206,1110.312,0.9998002329721789,0.9998002329721789,0.00019976702782109612,0.00019976702782113851
33,9,0,-1,1,2,3702,CVE,34.456,31.596,0.25,0.25,0.7499999999999999,0.7499999999999999
34,9,0,-1,1,2,3702,CCVE,662.878,110.466,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
35,9,0,-1,1,2,3702,CCALPeps,1511.194,1443.062,0.2500300109965004,0.2500549835037496,0.7499450164962504,0.7499699890034996
36,11,0,-1,1,2,1234,CVE,45.223,41.85,1.0,1.0,0.0,0.0
37,11,0,-1,1,2,1234,CCVE,803.394,207.289,1.0,1.0,0.0,0.0
38,11,0,-1,1,2,1234,CCALPeps,1940.003,1871.635,0.9998239233801437,0.9999022483726928,9.775162730718545e-05,0.00017607661985628606
39,11,0,-1,1,2,2468,CVE,42.713,39.531,0.050000000000000024,0.050000000000000024,0.95,0.95
40,11,0,-1,1,2,2468,CCVE,734.875,190.732,0.05000000000000002,0.05000000000000002,0.95,0.95
41,11,0,-1,1,2,2468,CCALPeps,1766.691,1694.491,0.05009000099790039,0.05013496750614914,0.9498650324938509,0.9499099990020996
42,11,0,-1,1,2,3702,CVE,47.503,43.558,0.12000000000000001,0.12000000000000001,0.88,0.88
43,11,0,-1,1,2,3702,CCVE,733.082,192.685,0.12000000000000004,0.12000000000000004,0.88,0.88
44,11,0,-1,1,2,3702,CCALPeps,1920.488,1852.698,0.12007599240075985,0.12007599240075996,0.87992400759924,0.8799240075992402
45,13,0,-1,1,2,1234,CVE,60.127,56.62,0.57,0.57,0.43,0.43
46,13,0,-1,1,2,1234,CCVE,1426.847,748.19,0.0,0.84,0.16000000000000003,1.0
47,13,0,-1,1,2,1234,CCALPeps,2365.48,2291.103,0.000299930010998489,0.8397480619901215,0.1602519380098785,0.9997000699890015
48,13,0,-1,1,2,2468,CVE,61.601,58.11,0.7500000000000001,0.7500000000000001,0.24999999999999992,0.24999999999999992
49,13,0,-1,1,2,2468,CCVE,1125.907,467.823,0.75,0.75,0.24999999999999992,0.24999999999999992
50,13,0,-1,1,2,2468,CCALPeps,2413.214,2344.384,0.7499699990004998,0.7499699990005001,0.2500300009994999,0.25003000099950023
51,13,0,-1,1,2,3702,CVE,66.784,62.587,0.9500000000000001,0.9500000000000001,0.049999999999999996,0.049999999999999996
52,13,0,-1,1,2,3702,CCVE,1066.66,452.741,0.9500000000000001,0.9500000000000001,0.04999999999999998,0.04999999999999998
53,13,0,-1,1,2,3702,CCALPeps,1920.204,1846.389,0.9499090092990501,0.9499090092990501,0.05009099070094991,0.05009099070094991
54,15,0,-1,1,2,1234,CVE,91.124,87.612,0.99,0.99,0.010000000000000002,0.010000000000000002
55,15,0,-1,1,2,1234,CCVE,1892.47,1220.892,0.99,0.99,0.01,0.01
56,15,0,-1,1,2,1234,CCALPeps,3191.893,3115.133,0.9898040391941207,0.9898040391941207,0.010195960805879225,0.010195960805879256
57,15,0,-1,1,2,2468,CVE,91.855,87.905,0.35,0.35,0.65,0.65
58,15,0,-1,1,2,2468,CCVE,2633.432,1990.861,0.23,1.0,0.0,0.77
59,15,0,-1,1,2,2468,CCALPeps,3598.423,3525.204,0.23020794840823866,0.9997770468928511,0.00022295310714897526,0.7697920515917613
60,15,0,-1,1,2,3702,CVE,94.452,90.507,0.09999999999999999,0.09999999999999999,0.9,0.9
61,15,0,-1,1,2,3702,CCVE,1926.101,1276.584,0.09999999999999998,0.09999999999999998,0.9,0.9
62,15,0,-1,1,2,3702,CCALPeps,2717.847,2637.335,0.10009298810144975,0.10009298810144988,0.8999070118985502,0.8999070118985503
63,17,0,-1,1,2,1234,CVE,189.831,185.582,0.73,0.73,0.27,0.27
64,17,0,-1,1,2,1234,CCVE,9700.118,8961.134,0.66,0.94,0.060000000000000026,0.34
65,17,0,-1,1,2,1234,CCALPeps,3853.683,3771.995,0.660095964806079,0.9398120387941208,0.060187961205879215,0.339904035193921
66,17,0,-1,1,2,2468,CVE,184.412,180.302,1.0,1.0,0.0,0.0
67,17,0,-1,1,2,2468,CCVE,4759.662,4018.98,1.0,1.0,0.0,0.0
68,17,0,-1,1,2,2468,CCALPeps,3550.903,3476.759,0.9998000387391415,0.9998000387391415,0.00019996126085852772,0.00019996126085855607
69,17,0,-1,1,2,3702,CVE,195.321,190.999,0.25,0.25,0.75,0.75
70,17,0,-1,1,2,3702,CCVE,4413.872,3729.619,0.24999999999999994,0.24999999999999994,0.75,0.75
71,17,0,-1,1,2,3702,CCALPeps,3043.702,2962.945,0.2500300109965004,0.25005498350374966,0.7499450164962503,0.7499699890034996
72,19,0,-1,1,2,1234,CVE,414.372,409.463,0.73,0.73,0.27,0.27
73,19,0,-1,1,2,1234,CCVE,26839.802,26154.023,0.6599999999999999,0.94,0.06000000000000002,0.34
74,19,0,-1,1,2,1234,CCALPeps,4431.464,4348.584,0.6600959648060788,0.9398120387941208,0.060187961205879215,0.3399040351939212
75,19,0,-1,1,2,2468,CVE,395.467,391.182,1.0,1.0,0.0,0.0
76,19,0,-1,1,2,2468,CCVE,14177.863,13425.944,1.0,1.0,0.0,0.0
77,19,0,-1,1,2,2468,CCALPeps,4033.241,3950.852,0.9998000391859081,0.9998000391859081,0.00019996081409190403,0.00019996081409194024
78,19,0,-1,1,2,3702,CVE,397.102,392.255,0.25,0.25,0.75,0.75
79,19,0,-1,1,2,3702,CCVE,13629.556,12933.736,0.25,0.25,0.75,0.75
80,19,0,-1,1,2,3702,CCALPeps,3791.396,3705.434,0.2500300109965004,0.2500549835037496,0.7499450164962504,0.7499699890034996
81,21,0,-1,1,2,1234,CVE,1114.905,1108.571,0.7299999999999999,0.7299999999999999,0.27,0.27
82,21,0,-1,1,2,1234,CCVE,114620.618,113812.824,0.6599999999999999,0.9400000000000001,0.060000000000000026,0.3400000000000001
