,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,1234,CVE,23.81,21.926,0.8940217391304348,0.8940217391304348,0.1059782608695652,0.1059782608695652
1,3,0,-1,1,2,1234,CCVE,452.226,29.971,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
2,3,0,-1,1,2,1234,CCALPeps,557.192,504.733,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
3,3,0,-1,1,2,2468,CVE,24.317,21.788,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
4,3,0,-1,1,2,2468,CCVE,447.637,30.721,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
5,3,0,-1,1,2,2468,CCALPeps,626.582,569.753,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
6,5,0,-1,1,2,1234,CVE,24.71,20.777,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
7,5,0,-1,1,2,1234,CCVE,519.322,49.345,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
8,5,0,-1,1,2,1234,CCALPeps,838.816,783.336,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
9,5,0,-1,1,2,2468,CVE,25.522,21.475,0.25,0.25,0.75,0.75
10,5,0,-1,1,2,2468,CCVE,516.186,47.403,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
11,5,0,-1,1,2,2468,CCALPeps,989.326,934.068,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
12,7,0,-1,1,2,1234,CVE,32.543,27.273,0.9456567989787855,0.9456567989787855,0.05434320102121451,0.05434320102121451
13,7,0,-1,1,2,1234,CCVE,586.175,79.312,0.9456567989787855,0.9456567989787855,0.05434320102121451,0.05434320102121451
14,7,0,-1,1,2,1234,CCALPeps,1362.929,1302.723,0.9454908959564651,0.9455766145109532,0.0544233854890468,0.0545091040435349
15,7,0,-1,1,2,2468,CVE,28.141,23.923,0.25,0.25,0.7500000000000001,0.7500000000000001
16,7,0,-1,1,2,2468,CCVE,551.315,75.045,0.25,0.25,0.7499999999999999,0.7499999999999999
17,7,0,-1,1,2,2468,CCALPeps,1280.396,1220.759,0.2500639908011998,0.2500639908012,0.7499360091988,0.7499360091988002
18,9,0,-1,1,2,1234,CVE,37.043,34.288,0.940055849432409,0.940055849432409,0.05994415056759095,0.05994415056759095
19,9,0,-1,1,2,1234,CCVE,722.862,165.657,0.940055849432409,0.940055849432409,0.05994415056759095,0.05994415056759095
20,9,0,-1,1,2,1234,CCALPeps,1838.255,1780.62,0.9398799944614555,0.9399738445628804,0.060026155437119665,0.060120005538544415
21,9,0,-1,1,2,2468,CVE,36.295,33.424,0.25000000000000006,0.25000000000000006,0.7499999999999999,0.7499999999999999
22,9,0,-1,1,2,2468,CCVE,704.538,164.899,0.24999999999999997,0.24999999999999997,0.75,0.75
23,9,0,-1,1,2,2468,CCALPeps,2084.282,2021.273,0.2500639908011997,0.2500639908012,0.7499360091988,0.7499360091988003
24,11,0,-1,1,2,1234,CVE,49.569,46.603,0.11014632338208566,0.11014632338208566,0.8898536766179144,0.8898536766179144
25,11,0,-1,1,2,1234,CCVE,2163.232,1607.884,0.07009730563531522,0.1201578296037449,0.8798421703962551,0.9299026943646848
26,11,0,-1,1,2,1234,CCALPeps,2823.592,2754.878,0.07028135095004392,0.12021461842931506,0.879785381570685,0.929718649049956
27,11,0,-1,1,2,2468,CVE,49.063,46.312,0.05999999999999999,0.05999999999999999,0.94,0.94
28,11,0,-1,1,2,2468,CCVE,1056.275,485.542,0.06,0.06,0.94,0.94
29,11,0,-1,1,2,2468,CCALPeps,2808.887,2745.248,0.060082992700629896,0.06008299270062999,0.93991700729937,0.9399170072993701
30,13,0,-1,1,2,1234,CVE,86.949,83.715,0.68,0.68,0.32,0.32
31,13,0,-1,1,2,1234,CCVE,5418.657,4737.385,0.63,1.0,0.0,0.37000000000000005
32,13,0,-1,1,2,1234,CCALPeps,4141.745,4067.56,0.63001100149859,0.9996630710901513,0.0003369289098487411,0.36998899850141
33,13,0,-1,1,2,2468,CVE,88.096,84.809,0.35000000000000003,0.35000000000000003,0.65,0.65
34,13,0,-1,1,2,2468,CCVE,1880.435,1288.041,0.3500000000000001,0.3500000000000001,0.6499999999999999,0.6499999999999999
35,13,0,-1,1,2,2468,CCALPeps,2673.514,2604.401,0.3500359952005997,0.35003599520060014,0.6499640047993999,0.6499640047994003
36,15,0,-1,1,2,1234,CVE,182.853,178.846,0.13000000000000006,0.13000000000000006,0.87,0.87
37,15,0,-1,1,2,1234,CCVE,16560.109,15940.483,0.12000000000000001,0.15000000000000008,0.8499999999999999,0.8799999999999999
38,15,0,-1,1,2,1234,CCALPeps,4484.215,4415.221,0.12016596540525923,0.14995702689505086,0.8500429731049491,0.8798340345947407
39,15,0,-1,1,2,2468,CVE,184.562,180.94,0.6099966219075675,0.6099966219075675,0.3900033780924325,0.3900033780924325
40,15,0,-1,1,2,2468,CCVE,25479.487,24813.303,0.0,0.9499993255142277,0.05000067448577229,1.0
41,15,0,-1,1,2,2468,CCALPeps,4225.07,4147.265,0.00039789499768057724,0.9498123647585928,0.05018763524140725,0.9996021050023194
42,17,0,-1,1,2,1234,CVE,529.685,525.767,0.9400000000000001,0.9400000000000001,0.05999999999999999,0.05999999999999999
43,17,0,-1,1,2,1234,CCVE,22227.591,21565.119,0.9400000000000001,0.9400000000000001,0.05999999999999999,0.05999999999999999
44,17,0,-1,1,2,1234,CCALPeps,4999.903,4923.624,0.9398240651857221,0.9399179970024196,0.06008200299758041,0.06017593481427784
45,17,0,-1,1,2,2468,CVE,523.573,519.988,0.2500000000000002,0.2500000000000002,0.7499999999999999,0.7499999999999999
46,17,0,-1,1,2,2468,CCVE,inf,inf,,,,
47,17,0,-1,1,2,2468,CCALPeps,inf,inf,,,,
48,19,0,-1,1,2,1234,CVE,inf,inf,,,,
49,19,0,-1,1,2,1234,CCVE,inf,inf,,,,
