,N,dovar,obsvar,target,endovarsize,exovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,5,1234,CCVE,432.186,29.75,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
1,3,0,-1,1,2,5,1234,CCALPeps,537.282,484.216,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
2,3,0,-1,1,2,5,2468,CCVE,441.862,31.462,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
3,3,0,-1,1,2,5,2468,CCALPeps,600.472,543.799,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
4,3,0,-1,1,2,5,3702,CCVE,431.572,29.456,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
5,3,0,-1,1,2,5,3702,CCALPeps,519.163,465.352,0.024118100506001536,0.024118100506001567,0.9758818994939984,0.9758818994939985
6,3,0,-1,1,2,,1234,CCVE,482.813,30.557,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
7,3,0,-1,1,2,,1234,CCALPeps,575.145,519.787,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
8,3,0,-1,1,2,,2468,CCVE,461.55,42.762,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
9,3,0,-1,1,2,,2468,CCALPeps,602.377,545.674,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
10,3,0,-1,1,2,,3702,CCVE,440.764,29.069,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
11,3,0,-1,1,2,,3702,CCALPeps,523.639,472.036,0.02411810050600154,0.024118100506001567,0.9758818994939984,0.9758818994939985
12,3,0,-1,,2,5,1234,CCVE,450.969,31.894,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
13,3,0,-1,,2,5,1234,CCALPeps,510.652,458.282,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
14,3,0,-1,,2,5,2468,CCVE,456.256,31.26,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
15,3,0,-1,,2,5,2468,CCALPeps,617.356,559.765,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
16,3,0,-1,,2,5,3702,CCVE,425.638,30.186,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
17,3,0,-1,,2,5,3702,CCALPeps,556.064,503.141,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
18,3,0,-1,,2,,1234,CCVE,439.891,29.956,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
19,3,0,-1,,2,,1234,CCALPeps,547.169,494.395,0.893736663037503,0.8938944131159062,0.10610558688409374,0.10626333696249696
20,3,0,-1,,2,,2468,CCVE,454.532,29.909,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
21,3,0,-1,,2,,2468,CCALPeps,588.594,537.176,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
22,3,0,-1,,2,,3702,CCVE,478.432,33.447,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
23,3,0,-1,,2,,3702,CCALPeps,554.427,498.513,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
24,5,0,-1,1,2,5,1234,CCVE,495.319,49.053,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
25,5,0,-1,1,2,5,1234,CCALPeps,840.87,785.896,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
26,5,0,-1,1,2,5,2468,CCVE,511.377,49.541,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
27,5,0,-1,1,2,5,2468,CCALPeps,976.74,922.643,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
28,5,0,-1,1,2,5,3702,CCVE,503.404,51.572,0.004890535253475402,0.004890535253475402,0.9951094647465245,0.9951094647465245
29,5,0,-1,1,2,5,3702,CCALPeps,961.26,905.303,0.004990174084024147,0.004990174084024151,0.9950098259159759,0.9950098259159759
30,5,0,-1,1,2,,1234,CCVE,521.671,47.479,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
31,5,0,-1,1,2,,1234,CCALPeps,762.321,710.195,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
32,5,0,-1,1,2,,2468,CCVE,523.433,47.92,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
33,5,0,-1,1,2,,2468,CCALPeps,943.893,887.874,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
