,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,1234,CCVE,488.037,32.858,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
1,3,0,-1,1,2,1234,CCALPeps,556.402,504.604,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
2,3,0,-1,1,2,2468,CCVE,437.988,30.313,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
3,3,0,-1,1,2,2468,CCALPeps,619.805,564.479,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
4,3,0,-1,1,2,3702,CCVE,420.937,31.428,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
5,3,0,-1,1,2,3702,CCALPeps,553.373,496.566,0.024118100506001536,0.024118100506001567,0.9758818994939984,0.9758818994939985
6,3,0,-1,,2,1234,CCVE,465.246,32.835,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
7,3,0,-1,,2,1234,CCALPeps,559.268,503.285,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
8,3,0,-1,,2,2468,CCVE,443.769,30.181,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
9,3,0,-1,,2,2468,CCALPeps,558.348,505.481,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
10,3,0,-1,,2,3702,CCVE,437.862,29.601,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
11,3,0,-1,,2,3702,CCALPeps,518.419,464.021,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
12,5,0,-1,1,2,1234,CCVE,514.866,48.192,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
13,5,0,-1,1,2,1234,CCALPeps,827.529,773.568,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
14,5,0,-1,1,2,2468,CCVE,535.785,51.458,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
15,5,0,-1,1,2,2468,CCALPeps,1000.746,944.947,0.25006399080119973,0.2500639908012,0.7499360091988,0.7499360091988003
16,5,0,-1,1,2,3702,CCVE,501.563,47.691,0.004890535253475402,0.004890535253475402,0.9951094647465245,0.9951094647465245
17,5,0,-1,1,2,3702,CCALPeps,997.707,936.825,0.004990174084024147,0.004990174084024151,0.9950098259159759,0.9950098259159759
18,5,0,-1,,2,1234,CCVE,491.831,48.308,0.4938838510515146,0.4938838510515146,0.5061161489484854,0.5061161489484854
19,5,0,-1,,2,1234,CCALPeps,939.133,880.456,0.4938801808127644,0.4939054001846819,0.5060945998153181,0.5061198191872356
20,5,0,-1,,2,2468,CCVE,532.504,47.119,0.3681567546278062,0.3681567546278062,0.6318432453721938,0.6318432453721938
21,5,0,-1,,2,2468,CCALPeps,1022.546,965.521,0.3681874459661882,0.36820683808776206,0.6317931619122379,0.6318125540338118
22,5,0,-1,,2,3702,CCVE,495.884,47.154,0.3641263631066345,0.3641263631066345,0.6358736368933655,0.6358736368933655
23,5,0,-1,,2,3702,CCALPeps,1043.383,988.059,0.364092340338614,0.3640923403386143,0.6359076596613857,0.635907659661386
24,7,0,-1,1,2,1234,CCVE,599.55,77.593,0.9456567989787855,0.9456567989787855,0.05434320102121451,0.05434320102121451
25,7,0,-1,1,2,1234,CCALPeps,1460.786,1398.051,0.9454908959564651,0.9455766145109532,0.0544233854890468,0.054509104043534914
26,7,0,-1,1,2,2468,CCVE,598.622,78.621,0.25,0.25,0.7499999999999999,0.7499999999999999
27,7,0,-1,1,2,2468,CCALPeps,1342.517,1283.124,0.2500639908011998,0.2500639908012,0.7499360091988,0.7499360091988002
28,7,0,-1,1,2,3702,CCVE,629.901,78.338,0.009704227022894727,0.009704227022894727,0.9902957729771054,0.9902957729771054
29,7,0,-1,1,2,3702,CCALPeps,1602.745,1539.503,0.00989376706584698,0.00989376706584699,0.990106232934153,0.990106232934153
30,7,0,-1,,2,1234,CCVE,636.039,77.159,0.292960914230138,0.292960914230138,0.707039085769862,0.707039085769862
31,7,0,-1,,2,1234,CCALPeps,1312.338,1252.539,0.2930786223050381,0.29309389728054785,0.7069061027194521,0.7069213776949619
32,7,0,-1,,2,2468,CCVE,554.417,76.116,0.9699999999999999,0.9699999999999999,0.03,0.03
33,7,0,-1,,2,2468,CCALPeps,1454.236,1392.537,0.969846037393061,0.9699059994020596,0.03009400059794043,0.030153962606939
34,7,0,-1,,2,3702,CCVE,549.917,72.491,0.33691955871304485,0.33691955871304485,0.6630804412869552,0.6630804412869552
35,7,0,-1,,2,3702,CCALPeps,1539.839,1478.431,0.3370720841472925,0.33707208414729284,0.6629279158527072,0.6629279158527075
36,9,0,-1,1,2,1234,CCVE,694.868,169.524,0.940055849432409,0.940055849432409,0.05994415056759095,0.05994415056759095
37,9,0,-1,1,2,1234,CCALPeps,1929.443,1866.732,0.9398799944614555,0.9399738445628804,0.060026155437119665,0.060120005538544415
