,pn_low,pn_up,ps_low,ps_up
0,1.441229611614293E-4,1.441229611614293E-4,2.6869079210195096E-6,2.6869079210195096E-6
1,1.441229611614293E-4,2.1861016944246136E-4,2.6869079210195096E-6,0.0010397238838042232
2,1.2958904537022127E-4,2.1861016944246136E-4,2.6869079210195096E-6,0.0016551470136518768
3,1.2958904537022127E-4,4.035082525091045E-4,2.6869079210195096E-6,0.0016551470136518768
4,1.2958904537022127E-4,4.035082525091045E-4,2.6869079210195096E-6,0.0016551470136518768
5,1.2958904537022127E-4,4.1445071345461E-4,2.6869079210195096E-6,0.0016551470136518768
6,1.2958904537022127E-4,4.1445071345461E-4,2.6869079210195096E-6,0.0016551470136518768
7,1.2958904537022127E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
8,1.2958904537022127E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
9,1.2958904537022127E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
10,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
11,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
12,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
13,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
14,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
15,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
16,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
17,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
18,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768
19,1.2488733368901548E-4,4.753837398260972E-4,2.6869079210195096E-6,0.0016551470136518768


