,pns_low,pns_up,num_points,idx,time
0,0.0797358252857853,0.0797358252857853,1,16,3343
1,0.0797358252857853,0.08073355356739809,2,14,5979
2,0.07888905248653019,0.08073355356739809,3,15,8612
3,0.07880425877411257,0.08073355356739809,4,25,11136
4,0.0684382671640234,0.08073355356739809,5,24,13235
5,0.0684382671640234,0.08163931748464856,6,9,16020
6,0.0684382671640234,0.08163931748464856,7,12,18239
7,0.0684382671640234,0.08163931748464856,8,2,21279
8,0.0684382671640234,0.08163931748464856,9,17,23694
9,0.06726977945523428,0.08163931748464856,10,28,26752
10,0.06726977945523428,0.08163931748464856,11,13,28586
11,0.06726977945523428,0.08819195563151207,12,7,31955
12,0.06726977945523428,0.08819195563151207,13,19,35474
13,0.06635589332175476,0.08819195563151207,14,0,37195
14,0.06635589332175476,0.08819195563151207,15,26,41253
15,0.06635589332175476,0.08819195563151207,16,18,44205
16,0.06519395818589571,0.08819195563151207,17,27,46819
17,0.06519395818589571,0.08819195563151207,18,3,49300
18,0.06519395818589571,0.08819195563151207,19,20,52593
19,0.06519395818589571,0.08819195563151207,20,22,55326
