,24,23,22,21,20,14,13,12,11,10,4,3,2,1,0
0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
3,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
4,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1
5,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1
6,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1
7,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1
8,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
9,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
10,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
11,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1
12,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
13,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1
14,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
15,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
16,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1
17,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0
18,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
19,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
20,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
21,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1
22,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1
23,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
24,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
25,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0
26,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1
27,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
28,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1
29,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
30,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
31,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1
32,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
33,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
34,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1
35,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0
36,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
37,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
38,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
39,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
40,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
41,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
