,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,,1234,6,CVE,2.0198,1.6724,0.029000653167864144,0.029000653167864144,0.17099934683213586,0.17099934683213586
1,3,0,-1,,1234,6,CCVE,65.7938,3.5858000000000003,0.029000653167864147,0.029000653167864147,0.17099934683213586,0.17099934683213586
2,3,0,-1,,1234,6,CCALPeps,351.6086,349.34600000000006,0.029028010742833277,0.02903091924907959,0.1709690807509204,0.17097198925716672
3,3,0,-1,,2468,6,CVE,2.0726,1.6808,0.191929746554024,0.191929746554024,0.008070253445975988,0.008070253445975988
4,3,0,-1,,2468,6,CCVE,64.84440000000001,3.6546,0.191929746554024,0.191929746554024,0.008070253445975988,0.008070253445975988
5,3,0,-1,,2468,6,CCALPeps,335.353,333.11019999999996,0.19191601524164376,0.191919019175092,0.008080980824908001,0.008083984758356248
6,3,0,-1,,3702,6,CVE,2.3112,1.8854,0.1894829097283085,0.1894829097283085,0.010517090271691497,0.010517090271691497
7,3,0,-1,,3702,6,CCVE,83.2996,18.7812,0.002296555167249126,0.19651264167393198,0.0034873583260680028,0.19770344483275087
8,3,0,-1,,3702,6,CCALPeps,335.31140000000005,333.0624,0.002386034632197845,0.19645997810496751,0.0035400218950324873,0.19761396536780215
9,3,0,-1,,4936,6,CVE,2.142,1.7114,0.040119760479041915,0.040119760479041915,0.1598802395209581,0.1598802395209581
10,3,0,-1,,4936,6,CCVE,65.329,4.0306,0.040119760479041915,0.040119760479041915,0.1598802395209581,0.1598802395209581
11,3,0,-1,,4936,6,CCALPeps,325.3802,323.0864,0.040141033401260295,0.04016427218325088,0.15983572781674912,0.15985896659873972
12,3,0,-1,,6170,6,CVE,2.1264000000000003,1.6809999999999998,0.010589754627636675,0.010589754627636675,0.18941024537236334,0.18941024537236334
13,3,0,-1,,6170,6,CCVE,65.01320000000001,4.143800000000001,0.010589754627636675,0.010589754627636675,0.18941024537236334,0.18941024537236334
14,3,0,-1,,6170,6,CCALPeps,344.412,342.29,0.010597277624831028,0.010598414345572505,0.1894015856544275,0.18940272237516897
15,3,0,-1,,7404,6,CVE,1.9552,1.6058,0.19896467722289893,0.19896467722289893,0.0010353227771010963,0.0010353227771010963
16,3,0,-1,,7404,6,CCVE,92.9154,36.625600000000006,0.19472049689440993,0.2,0.0,0.0052795031055900615
17,3,0,-1,,7404,6,CCALPeps,340.8236,338.5690000000001,0.19471026496729585,0.1999788728819327,2.1127118067298945e-05,0.005289735032704157
18,3,0,-1,,8638,6,CVE,2.1732,1.754,0.0008714054525084029,0.0008714054525084029,0.1991285945474916,0.1991285945474916
19,3,0,-1,,8638,6,CCVE,64.42679999999999,3.8584000000000005,0.0008714054525084033,0.0008714054525084033,0.1991285945474916,0.1991285945474916
