,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
0,3,0,-1,1234,CVE,2.4886,2.0524,0.0325452016689847,0.0325452016689847,0.16745479833101531,0.16745479833101531,,
1,3,0,-1,1234,CCVE,77.87559999999999,5.824199999999999,0.03137254901960784,0.12422907488986785,0.07577092511013217,0.16862745098039217,,
2,3,0,-1,1234,CCALPeps,660.5971999999999,657.6912,0.031405407070018744,0.12399865347723434,0.07600134652276566,0.16859459292998125,,
3,5,0,-1,1234,CVE,3.5742000000000003,3.0078,0.07481582537517055,0.07481582537517055,0.09159618008185537,0.09159618008185537,0.033587994542974085,0.033587994542974085
4,5,0,-1,1234,CCVE,145.2914,55.1202,0.033329723876556576,0.08764192139737995,0.08855441256090958,0.13201965065502183,0.022096069868995635,0.036697347049269094
5,5,0,-1,1234,CCALPeps,1948.8745999999999,1945.2938,0.045005473619487764,0.07582614703505294,0.09031268336065257,0.12998603629843491,0.02500849008207733,0.033861169604294486
6,7,0,-1,1234,CVE,5.088800000000001,4.3842,0.026600000000000002,0.026600000000000002,0.17340000000000003,0.17340000000000003,,
7,7,0,-1,1234,CCVE,149.8624,32.2484,0.02656,0.02776,0.17224,0.17343999999999998,,
8,7,0,-1,1234,CCALPeps,2556.7518,2552.2568,0.026590939961404873,0.02778878134084589,0.17221121865915412,0.17340906003859513,,
9,9,0,-1,1234,CVE,11.2378,10.5082,0.010876596543951915,0.010876596543951915,0.03720394440270474,0.03720394440270474,0.15191945905334336,0.15191945905334336
10,9,0,-1,1234,CCVE,279.33680000000004,145.51280000000003,0.010873628850488357,0.010962659654395194,0.037072667167543205,0.03819625845229151,0.15093011269722015,0.15196467317806162
11,9,0,-1,1234,CCALPeps,5818.1542,5812.2038,0.010876898495365547,0.010965536922516969,0.03718245707002392,0.038103531929962825,0.1509309311475202,0.15194064443461053
12,11,0,-1,1234,CVE,24.8776,24.1754,0.1363092052171785,0.1363092052171785,0.06369079478282154,0.06369079478282154,,
13,11,0,-1,1234,CCVE,563.7194000000001,433.6174,0.13630920521717846,0.13630920521717846,0.06369079478282155,0.06369079478282155,,
14,11,0,-1,1234,CCALPeps,4865.718800000001,4860.2274,0.1362766665938851,0.1362951369735113,0.06370486302648871,0.06372333340611488,,
15,13,0,-1,1234,CVE,117.1946,116.52860000000001,0.09929855823733591,0.09929855823733591,0.05026157447387514,0.05026157447387514,0.050439867288788964,0.050439867288788964
16,13,0,-1,1234,CCVE,3312.6224,3142.2650000000003,0.09929855823733591,0.09929855823733591,0.05026157447387514,0.05026157447387514,0.050439867288788964,0.050439867288788964
17,13,0,-1,1234,CCALPeps,8161.278200000001,8154.388000000001,0.09928307369209513,0.09928325324069154,0.050280969594509006,0.05028143189170944,0.05043549441619536,0.0504357771647995
18,15,0,-1,1234,CVE,399.7272,399.1364,0.13075748258671122,0.13075748258671122,0.06924251741328881,0.06924251741328881,,
19,15,0,-1,1234,CCVE,16484.746999999996,16274.998000000001,0.1307574825867112,0.1307574825867112,0.06924251741328882,0.06924251741328882,,
20,15,0,-1,1234,CCALPeps,6547.433800000001,6541.6054,0.1307376839226319,0.1307376865997086,0.06926231340029139,0.0692623160773681,,
21,17,0,-1,1234,CVE,3492.1774000000005,3491.4318,0.00468541083363674,0.00468541083363674,0.08612431787557324,0.08612431787557324,0.10919027129079002,0.10919027129079002
22,17,0,-1,1234,CCVE,91932.3074,91720.4088,0.004685410833636739,0.004685410833636739,0.08612431787557324,0.08612431787557324,0.10919027129079,0.10919027129079
23,17,0,-1,1234,CCALPeps,14089.998199999998,14084.502600000002,0.004696397045969199,0.004699335718889988,0.08617780414343502,0.0861781768803719,0.10912252697608955,0.1091257593124759
24,19,0,-1,1234,CVE,15957.9956,15957.2642,0.04358461305135537,0.04358461305135537,0.15641538694864462,0.15641538694864462,,
25,19,0,-1,1234,CCVE,inf,inf,,,,,,
26,19,0,-1,1234,CCALPeps,10572.2688,10565.599,0.04362437699023506,0.04362438538521398,0.15637561461478602,0.15637562300976496,,
27,21,0,-1,1234,CVE,,,,,,,,
28,21,0,-1,1234,CCVE,,,,,,,,
29,21,0,-1,1234,CCALPeps,18347.8648,18340.4052,0.09379648434440155,0.09379648434447845,0.020329092828581478,0.020329092829200122,0.0858744228263982,0.08587442282694024
30,23,0,-1,1234,CVE,,,,,,,,
31,23,0,-1,1234,CCVE,,,,,,,,
32,23,0,-1,1234,CCALPeps,12164.609,12156.7084,0.17798608318717665,0.1779860831871767,0.022013916812823307,0.02201391681282334,,
33,25,0,-1,1234,CVE,,,,,,,,
34,25,0,-1,1234,CCVE,,,,,,,,
35,25,0,-1,1234,CCALPeps,12338.657000000001,12330.0556,0.0005686177532730613,0.000568618183285197,0.18195849602065747,0.18195849641299502,0.017472885796057158,0.01747288583373206
36,27,0,-1,1234,CVE,,,,,,,,
37,27,0,-1,1234,CCVE,,,,,,,,
38,27,0,-1,1234,CCALPeps,12721.0634,12711.2,0.1719430146406427,0.17194367264346522,0.028056327356534804,0.0280569853593573,,
39,29,0,-1,1234,CVE,,,,,,,,
40,29,0,-1,1234,CCVE,,,,,,,,
41,29,0,-1,1234,CCALPeps,25051.449200000003,25038.94,0.10555891426001138,0.1055589448965331,0.029723604260238578,0.029723615585883413,0.06471744966125734,0.0647174714479308
