,markovianity,outliers_low,min,q25,q50,q75,max,outliers_high,n
0,quasi-markovian,[],0.0,0.038677618360592816,0.09561610576567561,0.1937468164665137,0.32266827628738387,[0.39773576 0.39848877 0.50058737 0.57500723 0.40869718 0.38093371 0.45757328 0.37020105 0.42516427 0.57175111 0.35496622 0.37294232 0.340762   0.36469234 0.38876513 0.48662687 0.46288913 0.40892841 0.39643642 0.32885249 0.63043665 0.38592405 0.37036825 0.4592467  0.52501772 0.45633368 0.41688256 0.52111407 0.35601923 0.3755274  0.41141429 0.37156249 0.54248151 0.53129437 0.57503924 0.51246961 0.56165918 0.63414138 0.64220189 0.64220189],10
1,quasi-markovian,[],0.0,0.007570523199450919,0.04686432559516425,0.11834799182344413,0.20962421949115478,[0.35475922 0.25985783 0.30468155 0.31233312 0.50058737 0.57500723 0.31757487 0.27367814 0.3503373  0.29502938 0.25873627 0.3669239  0.26187829 0.29025449 0.216324   0.27277421 0.40892841 0.22507846 0.25280885 0.22377799 0.25770386 0.34479117 0.31108925 0.37036825 0.3226659  0.41141429 0.27702483 0.27228082 0.37156249 0.30159612 0.21817981 0.21742245 0.48770948 0.54548556 0.63401112 0.64220189 0.64220189],20
2,quasi-markovian,[],0.0,0.001506233740171789,0.019542142301072856,0.06509458971347265,0.11301134424252854,[0.35475922 0.11707749 0.1692182  0.25985765 0.33397487 0.55807097 0.31757484 0.14012969 0.27367814 0.19888207 0.15982545 0.1914118  0.13028555 0.25873627 0.3669239  0.26187829 0.29025449 0.15618282 0.20775741 0.27186753 0.20962297 0.16890259 0.23769982 0.14789097 0.11899189 0.19981608 0.25770386 0.13443329 0.13288775 0.34479117 0.31108925 0.33118917 0.11999337 0.13360539 0.28450376 0.19769807 0.12429217 0.13016108 0.20553337 0.17039912 0.27702483 0.15973831 0.18598437 0.37156249 0.30159612 0.63399641 0.64220189 0.64220189],30
3,quasi-markovian,[],0.0,5.455947578714375e-06,0.007600716506219178,0.0528891264529408,0.08556471031189306,[0.17121188 0.11705116 0.25985765 0.33397487 0.55807097 0.31757483 0.14012969 0.27367814 0.19888207 0.15982545 0.10704242 0.1265447  0.32736342 0.26085078 0.28959553 0.15618282 0.20772922 0.2718388  0.20962297 0.16890253 0.23769982 0.14789097 0.19981608 0.22814508 0.13443329 0.13288775 0.34479117 0.31108925 0.33118917 0.28450376 0.19769807 0.10834389 0.12429217 0.13016108 0.17483519 0.18598437 0.37156249 0.08869609 0.6276513  0.64220189 0.64220189],40
4,quasi-markovian,[],0.0,0.0,0.0018345505294194348,0.023567347484378897,0.036121563798109595,[0.11705116 0.25985765 0.06315467 0.26238036 0.23321477 0.10323327 0.03836365 0.0728604  0.15982545 0.10702109 0.1265447  0.03858424 0.05825447 0.32736342 0.26021558 0.28910236 0.15618282 0.06785758 0.0499116  0.05786303 0.23769972 0.14789097 0.06221234 0.07236478 0.06350671 0.3193722  0.31108925 0.33118917 0.05393384 0.04008872 0.0593931  0.0593931  0.0593931  0.06619492 0.06619492 0.06754625 0.05544316 0.05452325 0.28439586 0.19769807 0.10834389 0.07269288 0.11963482 0.05706646 0.1129804  0.16314591 0.04639682 0.06409797 0.06006434 0.37156249 0.06525895 0.05326683 0.07839355 0.08869609 0.04930257 0.06334291 0.62764961 0.64220189 0.64220189],50
5,quasi-markovian,[],0.0,0.0,0.0,0.005746341772506233,0.007898373614207515,[0.11705116 0.03031142 0.03836365 0.0728604  0.15982545 0.10702109 0.1265447  0.02154356 0.03858424 0.05825447 0.22174067 0.08690781 0.02568191 0.01355825 0.02872326 0.11581954 0.12866818 0.18981536 0.05393384 0.02051773 0.00962133 0.04008872 0.02634235 0.01539207 0.01539207 0.01539207 0.06754625 0.03031601 0.05544316 0.02383034 0.01507814 0.01474597 0.01465274 0.05452325 0.02097645 0.01269694 0.01091253 0.01459701 0.01505017 0.0149605  0.01473294 0.28439586 0.18058237 0.10834389 0.07255646 0.01330381 0.00924845 0.04475191 0.04910866 0.01529423 0.02059465 0.02202213 0.06525895 0.05326683 0.03058659 0.01550121 0.02231877 0.03086054 0.01953903 0.03040061 0.02433273 0.01953608 0.06334291 0.6276436 ],60
6,quasi-markovian,[],0.0,0.0,0.0,0.0,0.0,[1.58731456e-03 6.10925263e-03 4.32895721e-03 7.83510144e-03 4.93150553e-02 1.59825449e-01 2.15435597e-02 3.85842434e-02 5.82544696e-02 2.21740671e-01 5.24721517e-03 1.89871747e-03 1.71906581e-03 2.60841198e-04 3.57207144e-03 8.69078131e-02 2.56819108e-02 5.17249889e-03 7.02810071e-03 7.09122969e-07 1.01925341e-06 1.50796982e-08 7.70794477e-04 4.61619251e-03 5.29739887e-03 5.49369017e-03 3.53250039e-03 2.09764451e-02 1.26969418e-02 1.45970132e-02 1.50501692e-02 1.49605038e-02 1.47329389e-02 3.79560218e-04 3.79560218e-04 1.80582368e-01 1.08334789e-01 7.25494986e-02 1.33038102e-02 1.96592377e-06 6.03336696e-03 2.61121925e-03 6.32160491e-03 9.24844599e-03 1.69593138e-03 2.05946468e-02 2.20221340e-02 6.30708383e-02 4.45424163e-02 2.57823689e-03 1.84900508e-03 2.96556442e-03 3.05865895e-02 1.55012147e-02 2.23187689e-02 3.08605432e-02 1.95390277e-02 9.53602810e-03 6.33421170e-02 6.27643568e-01],70
7,markovian,[],0.0,0.06322882375704565,0.16315304493775246,0.26305399397512447,0.45896900594389406,[0.52987894 0.51401966 0.54735511 0.55019417 0.48384648 0.59408329 0.50558686 0.52503246 0.46740738 0.49116122 0.58263688 0.56904793 0.46908963 0.47647413 0.51581233 0.49197811 0.46556713],10
8,markovian,[],0.0,0.02936072408563142,0.08779366605818802,0.1734699755844569,0.3036587548606845,[0.33329816 0.3236189  0.35435997 0.41614748 0.41766297 0.33969292 0.31477018 0.43270665 0.36911164 0.30822691 0.42429951 0.46989063 0.38287614 0.34515294 0.40928659 0.3971855  0.32503361 0.30727057 0.56987303 0.44281311 0.33947533 0.46995208 0.34549725 0.33131335],20
9,markovian,[],0.0,0.00691416466718579,0.05369171478363907,0.12243718215241793,0.221953404076462,[0.28316343 0.28248872 0.33310195 0.22726161 0.35435997 0.24944444 0.3037307  0.26512329 0.24159246 0.23182638 0.29816583 0.43270665 0.3691114  0.29480039 0.28710549 0.26864088 0.27982544 0.24659488 0.26170136 0.40928659 0.24252316 0.25140079 0.3971855  0.32503361 0.28293631 0.51988156 0.44281311 0.25635437 0.29983874 0.24445102 0.46995208 0.23557966 0.27832881],30
