,pns_low,pns_up,num_points,idx,time
0,0.06744140483542926,0.06744140483542926,1,3,3307
1,0.06519395818589571,0.06744140483542926,2,27,6112
2,0.06519395818589571,0.0710679773720275,3,6,9169
3,0.06519395818589571,0.07587187908908774,4,19,11218
4,0.06519395818589571,0.07978793947122229,5,4,13951
5,0.06519395818589571,0.0862048572273848,6,1,16639
6,0.0643199809324693,0.0862048572273848,7,11,19524
7,0.0643199809324693,0.0862048572273848,8,25,22069
8,0.0643199809324693,0.0862048572273848,9,5,25149
9,0.0643199809324693,0.09517252683491284,10,8,28359
10,0.0643199809324693,0.09517252683491284,11,24,30640
11,0.0643199809324693,0.09517252683491284,12,20,36058
12,0.0643199809324693,0.09517252683491284,13,15,37675
13,0.0643199809324693,0.09517252683491284,14,10,40056
14,0.0643199809324693,0.09517252683491284,15,21,42294
15,0.0643199809324693,0.09517252683491284,16,26,46065
16,0.0643199809324693,0.09517252683491284,17,13,47865
17,0.0643199809324693,0.09517252683491284,18,18,51271
18,0.0643199809324693,0.09517252683491284,19,14,55139
19,0.0643199809324693,0.09517252683491284,20,7,58839
