,pns_low,pns_up,num_points,idx,time
0,0.07490833600417326,0.07490833600417326,1,1,2248
1,0.07490833600417326,0.09559872478475621,2,20,3967
2,0.0340683019854266,0.09559872478475621,3,10,6072
3,0.0340683019854266,0.09648896870633024,4,8,7547
4,0.0340683019854266,0.09648896870633024,5,7,9585
5,0.0340683019854266,0.09648896870633024,6,22,12069
6,0.0340683019854266,0.09648896870633024,7,27,13925
7,0.0340683019854266,0.09648896870633024,8,2,15742
8,0.0340683019854266,0.09648896870633024,9,4,17286
9,0.0340683019854266,0.09731562296462881,10,26,19780
10,0.0340683019854266,0.09731562296462881,11,24,21420
11,0.0340683019854266,0.09731562296462881,12,3,24119
12,0.033777441578130334,0.09731562296462881,13,19,26415
13,0.033777441578130334,0.09731562296462881,14,0,27718
14,0.033777441578130334,0.09731562296462881,15,23,29468
15,0.033777441578130334,0.09731562296462881,16,9,32072
16,0.033777441578130334,0.09731562296462881,17,11,32719
17,0.033777441578130334,0.09731562296462881,18,25,34812
18,0.033777441578130334,0.09731562296462881,19,18,37206
19,0.033777441578130334,0.09731562296462881,20,14,39322
