,n,value
0,20,0.16837117628581785
1,20,0.061246933095818155
2,20,0.13702699560361506
3,20,0.1925793933389344
4,20,0.010941101099199645
5,20,0.0431898091656737
6,20,0.008832671390734416
7,20,0.0027540782970752013
8,20,0.0027540782970752013
9,20,0.0005544834838380053
10,20,0.04309894814355219
11,20,7.04593069714135e-05
12,20,0.0
13,20,0.01687063425768374
14,20,0.14789097193212833
15,20,0.0
16,20,0.0
17,20,0.00032982205132999956
18,20,0.10760098572288469
19,20,0.15193353943291615
20,20,0.22726160506848653
21,20,0.0
22,20,0.005211105092893723
23,20,0.0
24,20,0.048408909528922246
25,20,0.07020008963598408
26,20,0.06510350089928954
27,20,0.0008801391432896557
28,20,0.002678134328551215
29,20,0.07506212689795784
30,20,0.13628282476148154
31,20,0.16445648474226077
32,20,0.2190478542781546
33,20,0.05906945286149455
34,20,0.0001548327534048508
35,20,0.0001548327534048508
36,20,0.00011444155227547581
37,20,0.003638771881810729
38,20,0.04740034052733804
39,20,0.10831626765028694
40,20,0.04375301038545539
41,20,0.12075063194242418
42,20,0.11877149344925492
43,20,0.0723647753524176
44,20,0.06350670804562256
45,20,0.001913365044326933
46,20,0.004908437090560844
47,20,0.006710434112056786
48,20,0.003081202534179124
49,20,0.017663733741224586
50,20,0.051150367174460566
51,20,0.051150367174460566
52,20,0.08216735527554656
53,20,0.12929521226693164
54,20,0.002346344986861704
55,20,0.028723273484809297
56,20,0.06109811717809865
57,20,0.010108262474802957
58,20,0.03930677912012418
59,20,0.08029466391364856
60,20,0.0770662390283743
61,20,0.036501991080990406
62,20,0.036501991080990406
63,20,0.35435996763168753
64,20,0.2494444375933463
65,20,0.41614747712345934
66,20,0.26513194130333734
67,20,0.06663478622530206
68,20,0.26512329335102847
69,20,0.14252097640844344
70,20,0.15018355695010968
71,20,0.16075714624409634
72,20,0.0
73,20,0.00014527846116660966
74,20,0.02345044199539626
75,20,0.20280466771132866
76,20,0.21375304824347574
77,20,0.2561109974882869
78,20,0.2766736903954233
79,20,0.26362109627585406
80,20,0.26294260095754246
81,20,0.19981607839710186
82,20,0.25770386426014175
83,20,0.1344354709087213
84,20,0.13288775145816845
85,20,0.0021722652844240737
86,20,0.0021722652844240737
87,20,0.004228966358038118
88,20,0.0005430361090335288
89,20,0.0005430361090335288
90,20,0.34479117163882433
91,20,0.31108924913095504
92,20,0.3703682491203934
93,20,3.176843308193592e-09
94,20,0.12903557210591357
95,20,0.0770789480770232
96,20,0.03696746774304322
97,20,0.010339703799255084
98,20,0.013340089799456762
99,20,0.05852191136076787
100,20,0.0005646332939410208
101,20,0.4176629680728574
102,20,0.12578392803645846
103,20,0.10904428997083875
104,20,0.0
105,20,0.0
106,20,0.07551471421105767
107,20,0.07551471421105686
108,20,0.10327465959720185
109,20,0.047889957877006784
110,20,0.11501150859955987
111,20,0.04892241925383604
112,20,0.011434857477720111
113,20,0.038967774116958794
114,20,0.0036855196403722703
115,20,0.13912926660425617
116,20,0.13912926660425617
117,20,0.11307807620736292
118,20,0.030267059981688237
119,20,0.33969291811088126
120,20,0.059062618965381494
121,20,0.20319329664270394
122,20,0.08770511144503815
123,20,0.0
124,20,0.061042627424532495
125,20,0.012015467109051778
126,20,0.31477017705900334
127,20,0.17907041732802773
128,20,0.19813435910918603
129,20,0.21572606800566643
130,20,0.2084793894521938
131,20,0.03305501203951818
132,20,0.02936072408563091
133,20,0.029360724085631167
134,20,0.029360724085631503
135,20,0.0400891098205253
136,20,0.0001742820291438688
137,20,0.02634254542133144
138,20,0.0014975748379212348
139,20,0.05939310062530437
140,20,0.05939310062530437
141,20,0.05939310062530437
142,20,0.06619491649267127
143,20,0.06619491649267127
144,20,0.0
145,20,0.298165832048656
146,20,0.07560536738325657
147,20,0.019937574904268084
148,20,0.006976307990601459
149,20,0.1773620355584017
150,20,0.18278481871397412
151,20,0.2435192427462762
152,20,0.22255882514804315
153,20,0.26941022969404027
154,20,0.1330445317923178
155,20,0.02565983518750001
156,20,0.06580539567441027
157,20,0.06485316737476395
158,20,0.07054572311647157
159,20,0.0614911361482253
160,20,0.048135425837051216
161,20,0.045302423847776906
162,20,0.11992007227715991
163,20,0.042813240521018
164,20,0.000922568713908345
165,20,0.010978043705979204
166,20,0.06754632926537453
