,treewidth,variable,value,n
0,2.0,error_r_20,0.0005544834838380053,20
1,2.0,error_r_20,0.04309894814355219,20
2,2.0,error_r_20,7.04593069714135e-05,20
3,2.0,error_r_20,0.0,20
4,2.0,error_r_20,0.01687063425768374,20
5,2.0,error_r_20,0.14789097193212833,20
6,2.0,error_r_20,0.0,20
7,2.0,error_r_20,0.0,20
8,2.0,error_r_20,0.00032982205132999956,20
9,3.0,error_r_20,0.00011444155227547581,20
10,3.0,error_r_20,0.003638771881810729,20
11,3.0,error_r_20,0.04740034052733804,20
12,3.0,error_r_20,0.10831626765028694,20
13,3.0,error_r_20,0.04375301038545539,20
14,3.0,error_r_20,0.12075063194242418,20
15,3.0,error_r_20,0.11877149344925492,20
16,3.0,error_r_20,0.0723647753524176,20
17,3.0,error_r_20,0.06350670804562256,20
18,2.0,error_r_20,0.001913365044326933,20
19,2.0,error_r_20,0.004908437090560844,20
20,2.0,error_r_20,0.006710434112056786,20
21,2.0,error_r_20,0.003081202534179124,20
22,2.0,error_r_20,0.017663733741224586,20
23,2.0,error_r_20,0.051150367174460566,20
24,2.0,error_r_20,0.051150367174460566,20
25,2.0,error_r_20,0.08216735527554656,20
26,2.0,error_r_20,0.12929521226693164,20
27,2.0,error_r_20,0.002346344986861704,20
28,2.0,error_r_20,0.028723273484809297,20
29,2.0,error_r_20,0.06109811717809865,20
30,2.0,error_r_20,0.010108262474802957,20
31,2.0,error_r_20,0.03930677912012418,20
32,2.0,error_r_20,0.08029466391364856,20
33,2.0,error_r_20,0.0770662390283743,20
34,2.0,error_r_20,0.036501991080990406,20
35,2.0,error_r_20,0.036501991080990406,20
36,2.0,error_r_20,0.19981607839710186,20
37,2.0,error_r_20,0.25770386426014175,20
38,2.0,error_r_20,0.1344354709087213,20
39,2.0,error_r_20,0.13288775145816845,20
40,2.0,error_r_20,0.0021722652844240737,20
41,2.0,error_r_20,0.0021722652844240737,20
42,2.0,error_r_20,0.004228966358038118,20
43,2.0,error_r_20,0.0005430361090335288,20
44,2.0,error_r_20,0.0005430361090335288,20
45,2.0,error_r_20,0.34479117163882433,20
46,2.0,error_r_20,0.31108924913095504,20
47,2.0,error_r_20,0.3703682491203934,20
48,2.0,error_r_20,3.176843308193592e-09,20
49,2.0,error_r_20,0.12903557210591357,20
50,2.0,error_r_20,0.0770789480770232,20
51,2.0,error_r_20,0.03696746774304322,20
52,2.0,error_r_20,0.010339703799255084,20
53,2.0,error_r_20,0.013340089799456762,20
54,2.0,error_r_20,0.0400891098205253,20
55,2.0,error_r_20,0.0001742820291438688,20
56,2.0,error_r_20,0.02634254542133144,20
57,2.0,error_r_20,0.0014975748379212348,20
58,2.0,error_r_20,0.05939310062530437,20
59,2.0,error_r_20,0.05939310062530437,20
60,2.0,error_r_20,0.05939310062530437,20
61,2.0,error_r_20,0.06619491649267127,20
62,2.0,error_r_20,0.06619491649267127,20
63,2.0,error_r_20,0.11992007227715991,20
64,2.0,error_r_20,0.042813240521018,20
65,2.0,error_r_20,0.000922568713908345,20
66,2.0,error_r_20,0.010978043705979204,20
67,2.0,error_r_20,0.06754632926537453,20
68,2.0,error_r_20,0.01007394581507114,20
69,2.0,error_r_20,0.0003956078632835778,20
70,2.0,error_r_20,0.0003956078632835778,20
71,2.0,error_r_20,0.0003956078632835778,20
72,2.0,error_r_20,0.030322733561903938,20
73,2.0,error_r_20,0.1451307330805033,20
74,2.0,error_r_20,0.04632831066299045,20
75,2.0,error_r_20,0.019548204213668215,20
76,2.0,error_r_20,0.0,20
77,2.0,error_r_20,0.01713675679509242,20
78,2.0,error_r_20,0.02412581488114927,20
79,2.0,error_r_20,0.023878681062985366,20
80,2.0,error_r_20,0.023254482996341398,20
81,2.0,error_r_20,7.624955094839351e-06,20
82,2.0,error_r_20,1.21735344694561e-05,20
83,2.0,error_r_20,1.2016249228559353e-05,20
84,2.0,error_r_20,1.0330809590434993e-06,20
85,2.0,error_r_20,6.912606978943268e-05,20
86,2.0,error_r_20,0.006984332089574737,20
87,2.0,error_r_20,0.0051760507642650885,20
88,2.0,error_r_20,0.0014274369620323783,20
89,2.0,error_r_20,0.0013208227507588435,20
90,2.0,error_r_20,0.322664886575638,20
91,2.0,error_r_20,0.14402003275714623,20
92,2.0,error_r_20,0.0020722299545664264,20
93,2.0,error_r_20,0.0,20
94,2.0,error_r_20,0.05452324857786339,20
95,2.0,error_r_20,0.09763708944972789,20
96,2.0,error_r_20,0.02204186523817291,20
97,2.0,error_r_20,0.05432834677564408,20
98,2.0,error_r_20,0.05436601861887871,20
99,2.0,error_r_20,0.034524973389140394,20
100,2.0,error_r_20,0.10557636588731775,20
101,2.0,error_r_20,0.09889606574789139,20
102,2.0,error_r_20,0.008294908104582695,20
103,2.0,error_r_20,0.020501270663007214,20
104,2.0,error_r_20,0.14982597784654822,20
105,2.0,error_r_20,0.15204975147835337,20
106,2.0,error_r_20,0.1592374417114315,20
107,2.0,error_r_20,0.1508418716906289,20
108,2.0,error_r_20,0.0,20
109,2.0,error_r_20,0.11999336825489022,20
110,2.0,error_r_20,0.07945097297398203,20
111,2.0,error_r_20,0.03597386913807142,20
112,2.0,error_r_20,0.13360539187906253,20
113,2.0,error_r_20,0.01891527284593262,20
114,2.0,error_r_20,0.01987207275810874,20
115,2.0,error_r_20,0.019683886459275993,20
116,2.0,error_r_20,0.019690418593288336,20
117,3.0,error_r_20,0.07773702611281423,20
118,3.0,error_r_20,0.005226779656725991,20
119,3.0,error_r_20,0.41141428623925647,20
120,3.0,error_r_20,0.03865307241404464,20
121,3.0,error_r_20,0.006530564746184731,20
122,3.0,error_r_20,0.012609481195736011,20
123,3.0,error_r_20,0.0,20
124,3.0,error_r_20,0.0017996855727221406,20
125,3.0,error_r_20,0.0017963939661857318,20
126,2.0,error_r_20,0.0008421754262554347,20
127,2.0,error_r_20,0.0004188490752673669,20
128,2.0,error_r_20,0.0004188490752673669,20
129,2.0,error_r_20,0.0,20
130,2.0,error_r_20,0.0,20
131,2.0,error_r_20,0.0,20
132,2.0,error_r_20,0.010490076263428667,20
133,2.0,error_r_20,0.0059014298622852256,20
134,2.0,error_r_20,0.006911443765156896,20
135,2.0,error_r_20,0.00016520199145083324,20
136,2.0,error_r_20,0.0,20
137,2.0,error_r_20,0.007011215602508415,20
138,2.0,error_r_20,1.741417795231643e-08,20
139,2.0,error_r_20,0.0012359894057143593,20
140,2.0,error_r_20,0.053100587519140034,20
141,2.0,error_r_20,0.053100587519140034,20
142,2.0,error_r_20,0.052594447148612805,20
143,2.0,error_r_20,0.052594447148612805,20
