"UL5","US1","US2","VH5","VQ5"
"bad","weak","weak","no","wrong"
"none","weak","weak","no","wrong"
"good","weak","weak","no","right"
"bad","good","weak","no","wrong"
"none","good","weak","no","wrong"
"good","good","weak","no","right"
"bad","strong","weak","no","wrong"
"none","strong","weak","no","right"
"good","strong","weak","no","right"
"bad","weak","good","no","wrong"
"none","weak","good","no","wrong"
"good","weak","good","no","right"
"bad","good","good","no","wrong"
"none","good","good","no","wrong"
"good","good","good","no","right"
"bad","strong","good","no","wrong"
"none","strong","good","no","right"
"good","strong","good","no","right"
"bad","weak","strong","no","wrong"
"none","weak","strong","no","right"
"good","weak","strong","no","right"
"bad","good","strong","no","wrong"
"none","good","strong","no","right"
"good","good","strong","no","right"
"bad","strong","strong","no","wrong"
"none","strong","strong","no","right"
"good","strong","strong","no","right"
"bad","weak","weak","yes","wrong"
"none","weak","weak","yes","wrong"
"good","weak","weak","yes","right"
"bad","good","weak","yes","wrong"
"none","good","weak","yes","right"
"good","good","weak","yes","right"
"bad","strong","weak","yes","wrong"
"none","strong","weak","yes","right"
"good","strong","weak","yes","right"
"bad","weak","good","yes","wrong"
"none","weak","good","yes","right"
"good","weak","good","yes","right"
"bad","good","good","yes","wrong"
"none","good","good","yes","right"
"good","good","good","yes","right"
"bad","strong","good","yes","wrong"
"none","strong","good","yes","right"
"good","strong","good","yes","right"
"bad","weak","strong","yes","wrong"
"none","weak","strong","yes","right"
"good","weak","strong","yes","right"
"bad","good","strong","yes","wrong"
"none","good","strong","yes","right"
"good","good","strong","yes","right"
"bad","strong","strong","yes","wrong"
"none","strong","strong","yes","right"
"good","strong","strong","yes","right"
