"UL9","US2","VH9","VQ9"
"bad","weak","no","wrong"
"none","weak","no","wrong"
"good","weak","no","right"
"bad","good","no","wrong"
"none","good","no","wrong"
"good","good","no","right"
"bad","strong","no","wrong"
"none","strong","no","right"
"good","strong","no","right"
"bad","weak","yes","wrong"
"none","weak","yes","wrong"
"good","weak","yes","right"
"bad","good","yes","wrong"
"none","good","yes","right"
"good","good","yes","right"
"bad","strong","yes","wrong"
"none","strong","yes","right"
"good","strong","yes","right"
