numPoints	Symptoms_l	Symptoms_u	Triangolo_l	Triangolo_u	Hospital_l	Hospital_u
1	0.13962667921486163	0.139626679214861631	0.30370612304988814	0.303706123049888141	0.1833311845762962	0.1833311845762962
2	0.1308890780392441	0.139626679214861632	0.29717499346065257	0.303706123049888142	0.1833311845762962	0.20372753570958935
3	0.1308890780392441	0.139626679214861633	0.29717499346065257	0.303706123049888143	0.1778760761225181	0.20372753570958935
4	0.11653043257194629	0.139626679214861634	0.29717499346065257	0.303706123049888144	0.1778760761225181	0.20372753570958935
5	0.11653043257194629	0.145025169489557765	0.29717499346065257	0.303706123049888145	0.1778760761225181	0.20372753570958935
6	0.11653043257194629	0.145025169489557766	0.29717499346065257	0.303706123049888146	0.1778760761225181	0.20372753570958935
7	0.11653043257194629	0.145025169489557767	0.29717499346065257	0.303706123049888147	0.17644473544816297	0.20372753570958935
8	0.11653043257194629	0.145025169489557768	0.29717499346065257	0.303706123049888148	0.17644473544816297	0.20372753570958935
9	0.11238139155224	0.145025169489557769	0.29717499346065257	0.303706123049888149	0.17644473544816297	0.20372753570958935
10	0.11238139155224	0.1450251694895577610	0.29717499346065257	0.3061406504526026410	0.17644473544816297	0.20372753570958935
11		0.11238139155224	0.1450251694895577611	0.29717499346065257	0.3061406504526026411	0.17644473544816297	0.20372753570958935
12	0.11238139155224	0.1450251694895577612	0.29717499346065257	0.3061406504526026412	0.17644473544816297	0.20372753570958935
13	0.11238139155224	0.1450251694895577613	0.29717499346065257	0.3061406504526026413	0.17644473544816297	0.20372753570958935
14	0.11238139155224	0.1502181779133091314	0.29717499346065257	0.311827362849678814	0.17644473544816297	0.20372753570958935
15	0.11238139155224	0.1502181779133091315	0.29717499346065257	0.3128786208036083415	0.17644473544816297	0.20372753570958935
16	0.11238139155224	0.1502181779133091316	0.29717499346065257	0.3128786208036083416	0.17644473544816297	0.20372753570958935
17	0.11238139155224	0.1502181779133091317	0.29717499346065257	0.3128786208036083417	0.17644473544816297	0.20372753570958935
