VH1,UL1,USI,USII,VQ1
yes,bad,weak,weak,wrong
yes,bad,weak,good,wrong
yes,bad,weak,strong,wrong
yes,bad,good,weak,wrong
yes,bad,good,good,wrong
yes,bad,good,strong,wrong
yes,bad,strong,weak,wrong
yes,bad,strong,good,wrong
yes,bad,strong,strong,wrong
yes,none,weak,weak,wrong
yes,none,weak,good,right
yes,none,weak,strong,right
yes,none,good,weak,right
yes,none,good,good,right
yes,none,good,strong,right
yes,none,strong,weak,right
yes,none,strong,good,right
yes,none,strong,strong,right
yes,good,weak,weak,right
yes,good,weak,good,right
yes,good,weak,strong,right
yes,good,good,weak,right
yes,good,good,good,right
yes,good,good,strong,right
yes,good,strong,weak,right
yes,good,strong,good,right
yes,good,strong,strong,right
no,bad,weak,weak,wrong
no,bad,weak,good,wrong
no,bad,weak,strong,wrong
no,bad,good,weak,wrong
no,bad,good,good,wrong
no,bad,good,strong,wrong
no,bad,strong,weak,wrong
no,bad,strong,good,wrong
no,bad,strong,strong,wrong
no,none,weak,weak,wrong
no,none,weak,good,wrong
no,none,weak,strong,right
no,none,good,weak,wrong
no,none,good,good,wrong
no,none,good,strong,right
no,none,strong,weak,right
no,none,strong,good,right
no,none,strong,strong,right
no,good,weak,weak,right
no,good,weak,good,right
no,good,weak,strong,right
no,good,good,weak,right
no,good,good,good,right
no,good,good,strong,right
no,good,strong,weak,right
no,good,strong,good,right
no,good,strong,strong,right
